"","gene","n_TE_hits","repeat_classes"
"537","AT1G62930",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"538","AT1G64030",2,"LTR/unknown, LTR/Copia"
"539","AT2G15010",3,"LTR/Copia"
"540","AT2G24615",2,"DNA/Helitron"
"541","AT2G24625",1,"DNA/Helitron"
"542","AT2G29350",1,"LINE/unknown"
"543","AT3G22040",1,"LTR/unknown"
"544","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"545","AT3G22053",3,"DNA/Helitron"
"546","AT3G60700",1,"LTR/Copia"
"547","AT4G04110",5,"LTR/Copia"
"548","AT4G11760",2,"LTR/Copia"
"549","AT4G19720",1,"SINE/tRNA"
"550","AT4G19730",2,"LTR/Gypsy"
"551","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"552","AT4G19770",2,"LTR/Copia"
"553","AT5G17890",2,"DNA/Helitron"
"554","AT5G34828",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"555","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"556","AT5G38550",1,"LINE/L1"
"557","AT5G39330",1,"DNA/Helitron"
"558","AT5G41170",1,"DNA/Helitron"
"559","AT1G12300",1,"LINE/unknown"
"560","AT1G33220",1,"LINE/L1"
"561","AT1G34792",1,"LTR/Gypsy"
"562","AT1G34795",2,"LTR/Gypsy"
"563","AT1G34800",3,"LTR/Gypsy"
"564","AT1G34825",3,"LTR/Gypsy"
"565","AT1G34830",1,"LTR/Gypsy"
"566","AT1G58242",3,"LTR/Ty3, LTR/unknown, LTR/Copia"
"567","AT1G60095",1,"SINE/tRNA"
"568","AT1G62170",2,"LTR/Copia"
"569","AT1G62680",1,"LTR/Copia"
"570","AT1G62930",4,"DNA/Helitron, LINE/L1, LTR/Copia"
"571","AT1G63130",2,"DNA/Helitron"
"572","AT2G03913",1,"DNA/Helitron"
"573","AT2G15010",1,"LTR/Copia"
"574","AT2G24615",1,"DNA/Helitron"
"575","AT2G24625",3,"LTR/Gypsy, LTR/Ty3, DNA/Helitron"
"576","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"577","AT2G29360",1,"SINE/tRNA"
"578","AT3G22040",1,"LTR/unknown"
"579","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"580","AT3G22053",3,"DNA/Helitron"
"581","AT3G60700",1,"LTR/Copia"
"582","AT4G04110",5,"LTR/Copia"
"583","AT4G11760",2,"LTR/Copia"
"584","AT4G19720",1,"SINE/tRNA"
"585","AT4G19730",1,"LTR/Gypsy"
"586","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"587","AT4G19760",2,"SINE/tRNA, LTR/Ty3"
"588","AT4G19770",2,"LTR/Copia"
"589","AT5G17890",3,"DNA/Helitron"
"590","AT5G34828",3,"LTR/Ty3, LTR/unknown, LTR/Copia"
"591","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"592","AT5G38550",1,"LINE/L1"
"593","AT5G39330",1,"DNA/Helitron"
"594","AT1G12300",1,"LINE/unknown"
"595","AT1G33220",3,"LINE/unknown, LINE/L1"
"596","AT1G34792",1,"LTR/Gypsy"
"597","AT1G34795",2,"LTR/Gypsy"
"598","AT1G34800",2,"LTR/Gypsy"
"599","AT1G34825",2,"LTR/Gypsy"
"600","AT1G34840",1,"LTR/Gypsy"
"601","AT1G58242",3,"LINE/unknown, LTR/unknown, LTR/Copia"
"602","AT1G60095",1,"SINE/tRNA"
"603","AT1G62910",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"604","AT1G62914",1,"LINE/unknown"
"605","AT1G62930",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"606","AT1G64030",2,"LTR/unknown, LTR/Copia"
"607","AT2G15010",1,"LTR/Copia"
"608","AT2G24615",1,"DNA/Helitron"
"609","AT2G24625",2,"DNA/Helitron"
"610","AT2G29350",1,"SINE/tRNA"
"611","AT2G29360",1,"SINE/tRNA"
"612","AT3G22040",1,"LTR/unknown"
"613","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"614","AT3G22053",3,"DNA/Helitron"
"615","AT4G04110",5,"LTR/Copia"
"616","AT4G11760",2,"LTR/Copia"
"617","AT4G19720",1,"SINE/tRNA"
"618","AT4G19730",2,"LTR/Gypsy"
"619","AT4G19750",1,"LTR/Ty3"
"620","AT4G20530",3,"DNA/Helitron, LTR/Ty3"
"621","AT4G20540",1,"LINE/L1"
"622","AT4G20580",3,"LINE/L1, DNA/Helitron"
"623","AT4G20670",4,"LINE/L1, DNA/Helitron, LTR/Ty3"
"624","AT5G34828",7,"LINE/unknown, LTR/unknown, LTR/Copia, LTR/Ty3"
"625","AT5G36720",1,"LTR/Ty3"
"626","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"627","AT5G38378",1,"LTR/Ty3"
"628","AT5G38550",1,"LINE/L1"
"629","AT5G39330",1,"DNA/Helitron"
"630","AT5G41170",1,"DNA/Helitron"
"631","AT5G42232",1,"DNA/Helitron"
"632","AT1G12300",1,"LINE/unknown"
"633","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"634","AT1G34792",1,"LTR/Gypsy"
"635","AT1G34795",2,"LTR/Gypsy"
"636","AT1G34800",3,"LTR/Gypsy"
"637","AT1G34805",1,"LTR/Gypsy"
"638","AT1G34810",4,"DNA/Helitron, LTR/Gypsy"
"639","AT1G34825",8,"DNA/Helitron, LTR/Gypsy"
"640","AT1G34830",6,"DNA/Helitron, LTR/Gypsy"
"641","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"642","AT1G45063",1,"DNA/Helitron"
"643","AT1G58242",2,"LTR/unknown, LTR/Copia"
"644","AT1G60095",1,"SINE/tRNA"
"645","AT1G62680",1,"LTR/Copia"
"646","AT1G62910",2,"SINE/tRNA, LTR/Copia"
"647","AT1G62914",1,"LINE/unknown"
"648","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"649","AT2G15010",1,"LTR/Copia"
"650","AT2G24615",1,"DNA/Helitron"
"651","AT2G24625",1,"DNA/Helitron"
"652","AT2G29350",1,"LINE/unknown"
"653","AT3G22040",4,"DNA/Helitron"
"654","AT3G22050",1,"LTR/unknown"
"655","AT3G60700",1,"LTR/Copia"
"656","AT4G04110",5,"LTR/Copia"
"657","AT4G19720",1,"SINE/tRNA"
"658","AT4G19730",3,"DNA/MULE-MuDR, LTR/Gypsy"
"659","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"660","AT4G19770",2,"LTR/Copia"
"661","AT4G20530",1,"DNA/Helitron"
"662","AT4G20580",1,"DNA/Helitron"
"663","AT4G20670",1,"DNA/Helitron"
"664","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"665","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"666","AT5G38550",1,"LINE/L1"
"667","AT5G39330",1,"DNA/Helitron"
"668","AT1G12300",1,"LINE/unknown"
"669","AT1G33220",3,"LINE/unknown, LINE/L1"
"670","AT1G34792",1,"LTR/Gypsy"
"671","AT1G34795",2,"LTR/Gypsy"
"672","AT1G34800",3,"LTR/Gypsy"
"673","AT1G34805",4,"DNA/Helitron, LTR/Gypsy"
"674","AT1G34825",7,"DNA/Helitron, LTR/Gypsy"
"675","AT1G34830",5,"DNA/Helitron, LTR/Gypsy"
"676","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"677","AT1G58242",2,"LTR/unknown, LTR/Copia"
"678","AT1G60095",1,"SINE/tRNA"
"679","AT1G62910",1,"LINE/unknown"
"680","AT1G62914",1,"LINE/unknown"
"681","AT1G62930",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"682","AT1G63070",1,"LINE/unknown"
"683","AT1G63400",1,"LINE/unknown"
"684","AT1G64030",2,"DNA/Helitron"
"685","AT2G15010",1,"LTR/Copia"
"686","AT2G24615",2,"DNA/Helitron"
"687","AT2G24625",1,"DNA/Helitron"
"688","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"689","AT2G29360",1,"SINE/tRNA"
"690","AT3G22040",1,"LTR/unknown"
"691","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"692","AT3G22053",3,"DNA/Helitron"
"693","AT3G60700",1,"LTR/Copia"
"694","AT4G04110",5,"LTR/Copia"
"695","AT4G19720",1,"SINE/tRNA"
"696","AT4G19730",1,"LTR/Gypsy"
"697","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"698","AT4G19770",2,"LTR/Copia"
"699","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"700","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"701","AT5G38550",2,"LINE/L1"
"702","AT5G39330",1,"DNA/Helitron"
"703","AT5G41170",1,"DNA/Helitron"
"704","AT1G12300",1,"LINE/unknown"
"705","AT1G33220",3,"LINE/unknown, LINE/L1"
"706","AT1G34792",1,"LTR/Gypsy"
"707","AT1G34795",2,"LTR/Gypsy"
"708","AT1G34800",3,"LTR/Gypsy"
"709","AT1G34805",1,"LTR/Gypsy"
"710","AT1G34825",4,"LTR/Gypsy"
"711","AT1G34830",2,"LTR/Gypsy"
"712","AT1G34840",1,"LTR/Gypsy"
"713","AT1G35035",1,"LTR/Gypsy"
"714","AT1G58242",3,"LTR/Ty3, LTR/unknown, LTR/Copia"
"715","AT1G60095",1,"SINE/tRNA"
"716","AT1G62910",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"717","AT1G62914",1,"LINE/unknown"
"718","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"719","AT1G64030",2,"LTR/unknown, LTR/Copia"
"720","AT2G03913",3,"DNA/Helitron"
"721","AT2G03933",2,"DNA/Helitron"
"722","AT2G03936",1,"LTR/Copia"
"723","AT2G03937",2,"DNA/Helitron"
"724","AT2G15010",1,"LTR/Copia"
"725","AT2G24615",2,"DNA/Helitron"
"726","AT2G24625",3,"DNA/Helitron, DNA/MULE-MuDR"
"727","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"728","AT2G29360",1,"SINE/tRNA"
"729","AT3G22040",1,"LTR/unknown"
"730","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"731","AT3G22053",3,"DNA/Helitron"
"732","AT3G60700",1,"LINE/unknown"
"733","AT4G04110",5,"LTR/Copia"
"734","AT4G19720",1,"SINE/tRNA"
"735","AT4G19730",2,"LTR/Gypsy"
"736","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"737","AT4G19770",2,"LTR/Copia"
"738","AT5G34828",3,"LTR/Ty3, LTR/unknown, LTR/Copia"
"739","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"740","AT5G38350",1,"DNA/MULE-MuDR"
"741","AT5G38540",4,"DNA/Helitron"
"742","AT5G38550",2,"LINE/L1"
"743","AT5G39330",1,"DNA/Helitron"
"744","AT5G41170",1,"DNA/Helitron"
"745","AT5G42232",1,"DNA/Helitron"
"746","AT5G44430",3,"DNA/Helitron"
"747","AT1G12300",1,"LINE/unknown"
"748","AT1G12775",2,"DNA/Helitron"
"749","AT1G33220",2,"LINE/unknown, LINE/L1"
"750","AT1G34792",1,"LTR/Gypsy"
"751","AT1G34795",2,"LTR/Gypsy"
"752","AT1G34800",5,"DNA/Helitron, LTR/Gypsy"
"753","AT1G34825",5,"DNA/Helitron, LTR/Gypsy"
"754","AT1G34830",3,"DNA/Helitron, LTR/Gypsy"
"755","AT1G35035",3,"DNA/Helitron, LTR/Gypsy"
"756","AT1G45063",1,"DNA/Helitron"
"757","AT1G57570",3,"LTR/Copia, LINE/unknown"
"758","AT1G58242",2,"LTR/unknown, LTR/Copia"
"759","AT1G60095",1,"SINE/tRNA"
"760","AT1G62680",1,"LTR/Copia"
"761","AT1G62910",1,"LINE/unknown"
"762","AT1G62930",3,"LINE/L1, LTR/Copia, LINE/unknown"
"763","AT1G64030",1,"DNA/Helitron"
"764","AT1G70040",1,"DNA/Helitron"
"765","AT2G15010",1,"LTR/Copia"
"766","AT2G24615",4,"DNA/Helitron, LTR/Copia"
"767","AT2G24625",3,"DNA/Helitron, DNA/MULE-MuDR"
"768","AT2G29350",1,"SINE/tRNA"
"769","AT2G29360",1,"SINE/tRNA"
"770","AT3G22040",1,"LTR/unknown"
"771","AT3G22050",1,"LTR/unknown"
"772","AT3G60700",1,"LTR/Copia"
"773","AT4G04110",5,"LTR/Copia"
"774","AT4G19720",1,"SINE/tRNA"
"775","AT4G19730",1,"LTR/Gypsy"
"776","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"777","AT4G19770",2,"LTR/Copia"
"778","AT5G17890",3,"DNA/Helitron"
"779","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"780","AT5G38550",1,"LINE/L1"
"781","AT5G39330",1,"DNA/Helitron"
"782","AT5G41170",1,"DNA/Helitron"
"783","AT5G42232",1,"DNA/Helitron"
"784","AT1G12300",1,"LINE/unknown"
"785","AT1G34792",1,"LTR/Gypsy"
"786","AT1G34795",2,"LTR/Gypsy"
"787","AT1G34800",3,"LTR/Gypsy"
"788","AT1G34825",4,"LTR/Gypsy"
"789","AT1G34830",2,"LTR/Gypsy"
"790","AT1G57570",1,"LINE/unknown"
"791","AT1G58242",2,"LTR/unknown, LTR/Copia"
"792","AT1G60095",2,"SINE/tRNA, DNA/Helitron"
"793","AT1G62680",1,"LTR/Copia"
"794","AT1G62914",1,"LINE/unknown"
"795","AT1G62930",3,"LTR/Copia, LINE/L1, LINE/unknown"
"796","AT1G63400",1,"LINE/unknown"
"797","AT1G64030",2,"LTR/unknown, LTR/Copia"
"798","AT1G70120",1,"LINE/unknown"
"799","AT2G03913",1,"DNA/Helitron"
"800","AT2G14540",1,"LINE/unknown"
"801","AT2G15010",1,"LTR/Copia"
"802","AT2G24615",2,"DNA/Helitron"
"803","AT2G24625",5,"DNA/Helitron, LTR/Gypsy, LTR/Ty3"
"804","AT2G29260",1,"DNA/Helitron"
"805","AT2G29350",1,"SINE/tRNA"
"806","AT2G29360",1,"SINE/tRNA"
"807","AT3G60700",1,"LTR/Copia"
"808","AT4G04110",5,"LTR/Copia"
"809","AT4G19720",1,"SINE/tRNA"
"810","AT4G19730",1,"LTR/Gypsy"
"811","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"812","AT4G19770",2,"LTR/Copia"
"813","AT5G17890",3,"DNA/Helitron"
"814","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"815","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"816","AT5G38550",2,"LINE/L1"
"817","AT5G39330",1,"DNA/Helitron"
"818","AT5G39365",2,"LTR/Copia"
"819","AT5G41170",2,"DNA/Helitron"
"820","AT1G12300",1,"LINE/unknown"
"821","AT1G33220",1,"LINE/L1"
"822","AT1G34792",1,"LTR/Gypsy"
"823","AT1G34795",2,"LTR/Gypsy"
"824","AT1G34800",3,"LTR/Gypsy"
"825","AT1G34805",1,"LTR/Gypsy"
"826","AT1G34810",4,"DNA/Helitron, LTR/Gypsy"
"827","AT1G34825",8,"DNA/Helitron, LTR/Gypsy"
"828","AT1G34830",6,"DNA/Helitron, LTR/Gypsy"
"829","AT1G34840",5,"DNA/Helitron, LTR/Gypsy"
"830","AT1G58242",2,"LTR/unknown, LTR/Copia"
"831","AT1G60095",1,"SINE/tRNA"
"832","AT1G62910",2,"SINE/tRNA, LTR/Copia"
"833","AT1G62914",1,"LINE/unknown"
"834","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"835","AT1G64030",2,"LTR/unknown, LTR/Copia"
"836","AT1G70120",1,"LINE/unknown"
"837","AT2G03913",2,"DNA/Helitron"
"838","AT2G03933",2,"DNA/Helitron"
"839","AT2G03936",1,"LTR/Copia"
"840","AT2G03937",2,"DNA/Helitron"
"841","AT2G15010",1,"LTR/Copia"
"842","AT2G24615",1,"DNA/Helitron"
"843","AT2G24625",1,"DNA/Helitron"
"844","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"845","AT2G29360",1,"SINE/tRNA"
"846","AT3G22040",1,"LTR/unknown"
"847","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"848","AT3G22053",3,"DNA/Helitron"
"849","AT3G60700",1,"LTR/Copia"
"850","AT4G04110",5,"LTR/Copia"
"851","AT4G19720",1,"SINE/tRNA"
"852","AT4G19730",1,"LTR/Gypsy"
"853","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"854","AT4G19760",2,"SINE/tRNA, LTR/Ty3"
"855","AT4G19770",2,"LTR/Copia"
"856","AT4G20530",2,"DNA/Helitron"
"857","AT4G20540",1,"DNA/Helitron"
"858","AT4G20550",1,"DNA/Helitron"
"859","AT4G20560",1,"DNA/Helitron"
"860","AT4G20570",1,"DNA/Helitron"
"861","AT4G20580",7,"DNA/Helitron"
"862","AT4G20590",1,"DNA/Helitron"
"863","AT4G20600",1,"DNA/Helitron"
"864","AT4G20610",1,"DNA/Helitron"
"865","AT4G20645",3,"DNA/Helitron"
"866","AT4G20670",9,"DNA/Helitron"
"867","AT5G17890",1,"DNA/Helitron"
"868","AT5G34828",5,"LTR/unknown, LTR/Copia, LTR/Ty3"
"869","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"870","AT5G38540",1,"DNA/Helitron"
"871","AT5G38550",2,"LINE/L1"
"872","AT5G39330",1,"DNA/Helitron"
"873","AT5G41170",1,"DNA/Helitron"
"874","AT1G12300",1,"LINE/unknown"
"875","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"876","AT1G34792",1,"LTR/Gypsy"
"877","AT1G34795",2,"LTR/Gypsy"
"878","AT1G34800",3,"LTR/Gypsy"
"879","AT1G34805",1,"LTR/Gypsy"
"880","AT1G34810",4,"DNA/Helitron, LTR/Gypsy"
"881","AT1G34825",8,"DNA/Helitron, LTR/Gypsy"
"882","AT1G34830",6,"DNA/Helitron, LTR/Gypsy"
"883","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"884","AT1G58242",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"885","AT1G60095",1,"SINE/tRNA"
"886","AT1G62680",1,"LTR/Copia"
"887","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"888","AT2G15010",1,"LTR/Copia"
"889","AT2G24615",1,"DNA/Helitron"
"890","AT2G24625",1,"DNA/Helitron"
"891","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"892","AT2G29360",1,"SINE/tRNA"
"893","AT3G22040",1,"LTR/unknown"
"894","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"895","AT3G22053",3,"DNA/Helitron"
"896","AT3G60700",1,"LINE/unknown"
"897","AT4G04110",5,"LTR/Copia"
"898","AT4G11760",2,"LTR/Copia"
"899","AT4G19720",1,"SINE/tRNA"
"900","AT4G19730",3,"DNA/MULE-MuDR, LTR/Gypsy"
"901","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"902","AT4G19770",2,"LTR/Copia"
"903","AT4G20530",2,"LINE/L1, DNA/Helitron"
"904","AT4G20580",2,"LINE/L1, DNA/Helitron"
"905","AT4G20670",2,"LINE/L1, DNA/Helitron"
"906","AT5G34828",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"907","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"908","AT5G38550",2,"LINE/L1"
"909","AT5G39330",1,"DNA/Helitron"
"910","AT5G41170",1,"DNA/Helitron"
"911","AT5G42232",1,"DNA/Helitron"
"912","AT5G44430",3,"DNA/Helitron"
"913","AT1G12300",1,"LINE/unknown"
"914","AT1G33220",2,"LINE/unknown, LINE/L1"
"915","AT1G34792",1,"LTR/Gypsy"
"916","AT1G34795",2,"LTR/Gypsy"
"917","AT1G34800",2,"LTR/Gypsy"
"918","AT1G34825",2,"LTR/Gypsy"
"919","AT1G45063",1,"DNA/Helitron"
"920","AT1G58242",2,"LTR/unknown, LTR/Copia"
"921","AT1G62680",1,"LTR/Copia"
"922","AT1G62910",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"923","AT1G62914",1,"LINE/unknown"
"924","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"925","AT2G03913",3,"DNA/Helitron"
"926","AT2G03933",2,"DNA/Helitron"
"927","AT2G03937",2,"DNA/Helitron"
"928","AT2G15010",1,"LTR/Copia"
"929","AT2G24615",2,"DNA/Helitron"
"930","AT2G24625",1,"DNA/Helitron"
"931","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"932","AT2G29360",1,"SINE/tRNA"
"933","AT3G22040",4,"DNA/Helitron"
"934","AT3G22050",1,"LTR/unknown"
"935","AT3G60700",1,"LINE/unknown"
"936","AT4G04110",5,"LTR/Copia"
"937","AT4G19720",1,"SINE/tRNA"
"938","AT4G19730",3,"DNA/MULE-MuDR, LTR/Gypsy"
"939","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"940","AT4G19770",2,"LTR/Copia"
"941","AT5G17890",2,"DNA/Helitron"
"942","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"943","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"944","AT5G38550",1,"LINE/L1"
"945","AT5G39330",1,"DNA/Helitron"
"946","AT5G41170",1,"DNA/Helitron"
"947","AT5G44430",3,"DNA/Helitron"
"948","AT1G12300",1,"LINE/unknown"
"949","AT1G33220",3,"LINE/unknown, LINE/L1"
"950","AT1G34792",1,"LTR/Gypsy"
"951","AT1G34795",2,"LTR/Gypsy"
"952","AT1G34800",3,"LTR/Gypsy"
"953","AT1G34805",1,"LTR/Gypsy"
"954","AT1G34810",4,"DNA/Helitron, LTR/Gypsy"
"955","AT1G34825",8,"DNA/Helitron, LTR/Gypsy"
"956","AT1G34830",6,"DNA/Helitron, LTR/Gypsy"
"957","AT1G34840",5,"DNA/Helitron, LTR/Gypsy"
"958","AT1G58242",2,"LTR/unknown, LTR/Copia"
"959","AT1G60095",1,"SINE/tRNA"
"960","AT1G62910",2,"SINE/tRNA, LTR/Copia"
"961","AT1G62914",1,"LINE/unknown"
"962","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"963","AT1G64030",2,"LTR/unknown, LTR/Copia"
"964","AT1G70120",1,"LINE/unknown"
"965","AT2G03913",2,"DNA/Helitron"
"966","AT2G03933",2,"DNA/Helitron"
"967","AT2G03936",1,"LTR/Copia"
"968","AT2G03937",2,"DNA/Helitron"
"969","AT2G15010",1,"LTR/Copia"
"970","AT2G24615",1,"DNA/Helitron"
"971","AT2G24625",1,"DNA/Helitron"
"972","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"973","AT2G29360",1,"SINE/tRNA"
"974","AT3G22040",1,"LTR/unknown"
"975","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"976","AT3G22053",3,"DNA/Helitron"
"977","AT3G60700",1,"LTR/Copia"
"978","AT4G04110",5,"LTR/Copia"
"979","AT4G19720",1,"SINE/tRNA"
"980","AT4G19730",1,"LTR/Gypsy"
"981","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"982","AT4G19760",2,"SINE/tRNA, LTR/Ty3"
"983","AT4G19770",2,"LTR/Copia"
"984","AT4G20530",2,"DNA/Helitron"
"985","AT4G20540",1,"DNA/Helitron"
"986","AT4G20550",1,"DNA/Helitron"
"987","AT4G20560",1,"DNA/Helitron"
"988","AT4G20570",1,"DNA/Helitron"
"989","AT4G20580",7,"DNA/Helitron"
"990","AT4G20590",1,"DNA/Helitron"
"991","AT4G20600",1,"DNA/Helitron"
"992","AT4G20610",1,"DNA/Helitron"
"993","AT4G20645",3,"DNA/Helitron"
"994","AT4G20670",9,"DNA/Helitron"
"995","AT5G17890",2,"DNA/Helitron"
"996","AT5G34828",5,"LTR/unknown, LTR/Copia, LTR/Ty3"
"997","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"998","AT5G38540",1,"DNA/Helitron"
"999","AT5G38550",2,"LINE/L1"
"1000","AT5G39330",1,"DNA/Helitron"
"1001","AT5G41170",1,"DNA/Helitron"
"1002","AT1G12300",1,"LINE/unknown"
"1003","AT1G23810",1,"LTR/unknown"
"1004","AT1G24060",3,"DNA/Helitron"
"1005","AT1G24250",1,"LTR/unknown"
"1006","AT1G33220",4,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"1007","AT1G34792",1,"LTR/Gypsy"
"1008","AT1G34795",2,"LTR/Gypsy"
"1009","AT1G34800",3,"LTR/Gypsy"
"1010","AT1G34805",1,"LTR/Gypsy"
"1011","AT1G34810",1,"LTR/Gypsy"
"1012","AT1G34815",1,"LTR/Gypsy"
"1013","AT1G34820",1,"LTR/Gypsy"
"1014","AT1G34825",8,"LTR/Gypsy"
"1015","AT1G34830",7,"LTR/Gypsy"
"1016","AT1G34840",2,"LTR/Gypsy"
"1017","AT1G34860",5,"LTR/Gypsy"
"1018","AT1G34930",10,"LTR/Gypsy"
"1019","AT1G35035",2,"LTR/Gypsy"
"1020","AT1G58242",2,"LTR/unknown, LTR/Copia"
"1021","AT1G60095",1,"SINE/tRNA"
"1022","AT1G62720",1,"DNA/Helitron"
"1023","AT1G62910",1,"LINE/unknown"
"1024","AT1G62930",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"1025","AT1G63130",3,"LTR/Ty3, LTR/Copia, LTR/Gypsy"
"1026","AT1G64030",2,"LTR/unknown, LTR/Copia"
"1027","AT1G70120",1,"LINE/unknown"
"1028","AT2G03913",1,"DNA/Helitron"
"1029","AT2G14540",1,"LINE/unknown"
"1030","AT2G15010",1,"LTR/Copia"
"1031","AT2G24615",1,"DNA/Helitron"
"1032","AT2G24625",2,"DNA/Helitron"
"1033","AT2G29350",1,"SINE/tRNA"
"1034","AT2G29360",1,"SINE/tRNA"
"1035","AT3G22040",1,"LTR/unknown"
"1036","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"1037","AT3G22053",3,"DNA/Helitron"
"1038","AT3G60700",1,"LTR/Copia"
"1039","AT4G04110",5,"LTR/Copia"
"1040","AT4G11760",2,"LTR/Copia"
"1041","AT4G19720",1,"SINE/tRNA"
"1042","AT4G19730",1,"LTR/Gypsy"
"1043","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"1044","AT4G19770",2,"LTR/Copia"
"1045","AT4G20530",2,"DNA/Helitron"
"1046","AT4G20540",1,"DNA/Helitron"
"1047","AT4G20550",1,"DNA/Helitron"
"1048","AT4G20560",1,"DNA/Helitron"
"1049","AT4G20570",1,"DNA/Helitron"
"1050","AT4G20580",7,"DNA/Helitron"
"1051","AT4G20590",1,"DNA/Helitron"
"1052","AT4G20600",1,"DNA/Helitron"
"1053","AT4G20610",1,"DNA/Helitron"
"1054","AT4G20620",1,"DNA/Helitron"
"1055","AT4G20630",1,"DNA/Helitron"
"1056","AT4G20645",6,"DNA/Helitron"
"1057","AT4G20670",12,"DNA/Helitron"
"1058","AT5G34828",5,"LTR/unknown, LTR/Copia, LTR/Ty3"
"1059","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"1060","AT5G38550",1,"LINE/L1"
"1061","AT5G39330",1,"DNA/Helitron"
"1062","AT5G39365",2,"LTR/Copia"
"1063","AT5G41170",1,"LTR/Copia"
"1064","AT1G12300",1,"LINE/unknown"
"1065","AT1G33220",3,"LINE/unknown, LINE/L1"
"1066","AT1G34792",1,"LTR/Gypsy"
"1067","AT1G34795",2,"LTR/Gypsy"
"1068","AT1G34800",2,"LTR/Gypsy"
"1069","AT1G34825",2,"LTR/Gypsy"
"1070","AT1G34840",1,"LTR/Gypsy"
"1071","AT1G35035",1,"LTR/Gypsy"
"1072","AT1G58242",2,"LTR/unknown, LTR/Copia"
"1073","AT1G60095",1,"SINE/tRNA"
"1074","AT1G62670",1,"LINE/unknown"
"1075","AT1G62914",1,"LINE/unknown"
"1076","AT1G62930",2,"LTR/Copia, SINE/tRNA"
"1077","AT1G64030",2,"LTR/unknown, LTR/Copia"
