Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length,gene_id,Category,Sub-category
R0IFJ2,R0IFJ2_9BRAS,unreviewed,Pentatricopeptide repeat-containing protein,CARUB_v10020729mg,Capsella rubella,295,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BK68,A0A8T2BK68_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As07g001950,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),628,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
D7KU57,D7KU57_ARALL,unreviewed,Pentatricopeptide repeat-containing protein,ARALYDRAFT_475062,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),189,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
V4KGZ6,V4KGZ6_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10023989mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),623,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A0D3BVU2,A0A0D3BVU2_BRAOL,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,,Brassica oleracea var. oleracea,371,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A565AMV7,A0A565AMV7_9BRAS,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,ANE_LOCUS804,Arabis nemorensis,593,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A565AWC6,A0A565AWC6_9BRAS,unreviewed,RFP1,ANE_LOCUS4092,Arabis nemorensis,620,AT1G62590.1,Protein Processing and Degradation,RFP
R0I6S0,R0I6S0_9BRAS,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,CARUB_v10019968mg,Capsella rubella,452,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
R0GDS0,R0GDS0_9BRAS,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,CARUB_v10019968mg,Capsella rubella,626,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A565ALR5,A0A565ALR5_9BRAS,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,ANE_LOCUS805,Arabis nemorensis,619,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A8S9J0J9,A0A8S9J0J9_BRACR,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,F2Q70_00001276,Brassica cretica (Mustard),174,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
V4KP76,V4KP76_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10023350mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),624,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A3P5YA00,A0A3P5YA00_BRACM,unreviewed,RFP1,BRAA09T37036Z BRAPAZ1V2_A09P14910.2,Brassica campestris (Field mustard),558,AT1G62590.1,Protein Processing and Degradation,RFP
A0A8S1ZSU8,A0A8S1ZSU8_ARAAE,unreviewed,Pentatricopeptide repeat-containing protein,AARE701A_LOCUS4116,Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa),454,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
R0GGR9,R0GGR9_9BRAS,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,CARUB_v10020000mg,Capsella rubella,489,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A8T2HD47,A0A8T2HD47_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As01g051920,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),634,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2HHC9,A0A8T2HHC9_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As01g052460,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),630,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
V4KGY5,V4KGY5_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10023345mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),631,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A8T2GTF4,A0A8T2GTF4_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_At01g053710,Arabidopsis thaliana x Arabidopsis arenosa,627,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
V4KP39,V4KP39_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10023344mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),633,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A6D2J4X3,A0A6D2J4X3_9BRAS,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,MERR_LOCUS21400,Microthlaspi erraticum,599,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
R0I9X8,R0I9X8_9BRAS,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,CARUB_v10020000mg,Capsella rubella,611,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
R0IAW6,R0IAW6_9BRAS,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,CARUB_v10019951mg,Capsella rubella,634,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A087FYY2,A0A087FYY2_ARAAL,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,AALP_AAs49566U000200,Arabis alpina (Alpine rock-cress),628,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A1J3F0G2,A0A1J3F0G2_NOCCA,unreviewed,Pentatricopeptide repeat-containing protein,LC_TR8834_c0_g1_i1_g.30535,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),462,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A565BBY7,A0A565BBY7_9BRAS,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,ANE_LOCUS8845,Arabis nemorensis,623,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
V4JUK9,V4JUK9_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10023942mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),635,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
V4JUR8,V4JUR8_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10023349mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),626,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
V4KD82,V4KD82_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10023354mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),618,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
V4KP25,V4KP25_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10023351mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),624,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A8T2BCB6,A0A8T2BCB6_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_Aa02g002500,Arabidopsis thaliana x Arabidopsis arenosa,600,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A087HEF7,A0A087HEF7_ARAAL,unreviewed,Pentatricopeptide repeat-containing protein,AALP_Aa2g005100,Arabis alpina (Alpine rock-cress),474,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2GS28,A0A8T2GS28_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_At01g052950,Arabidopsis thaliana x Arabidopsis arenosa,524,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BE57,A0A8T2BE57_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_Aa02g001910,Arabidopsis thaliana x Arabidopsis arenosa,593,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
R0GE78,R0GE78_9BRAS,unreviewed,RFP1,CARUB_v10021592mg,Capsella rubella,571,AT1G62590.1,Protein Processing and Degradation,RFP
A0A8T2GST2,A0A8T2GST2_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_At01g052960,Arabidopsis thaliana x Arabidopsis arenosa,630,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2GS74,A0A8T2GS74_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_At01g053420,Arabidopsis thaliana x Arabidopsis arenosa,622,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BHU4,A0A8T2BHU4_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_Aa02g001130,Arabidopsis thaliana x Arabidopsis arenosa,671,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
V4KD96,V4KD96_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10023987mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),654,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A8T2BC26,A0A8T2BC26_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_Aa02g002580,Arabidopsis thaliana x Arabidopsis arenosa,633,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BE14,A0A8T2BE14_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_Aa02g001540,Arabidopsis thaliana x Arabidopsis arenosa,628,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BM30,A0A8T2BM30_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_Aa02g001840,Arabidopsis thaliana x Arabidopsis arenosa,633,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BWH2,A0A8T2BWH2_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As07g001890,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),633,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
R0IKQ8,R0IKQ8_9BRAS,unreviewed,RFP1,CARUB_v10012052mg,Capsella rubella,602,AT1G62590.1,Protein Processing and Degradation,RFP
V4KDA7,V4KDA7_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10023976mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),666,AT1G62590.1,Genetic Information Processing,Pentacotripeptide
A0A8T2BP03,A0A8T2BP03_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As07g001130,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),646,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BD09,A0A8T2BD09_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_Aa02g001230,Arabidopsis thaliana x Arabidopsis arenosa,489,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BNE0,A0A8T2BNE0_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As07g002560,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),633,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2GS56,A0A8T2GS56_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_At01g053210,Arabidopsis thaliana x Arabidopsis arenosa,613,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2HGJ9,A0A8T2HGJ9_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As01g052480,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),629,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BH78,A0A8T2BH78_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_Aa02g001920,Arabidopsis thaliana x Arabidopsis arenosa,578,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BWA0,A0A8T2BWA0_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As07g001270,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),619,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BN93,A0A8T2BN93_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As07g002460,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),628,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2GTC5,A0A8T2GTC5_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_At01g053430,Arabidopsis thaliana x Arabidopsis arenosa,614,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8X7URL5,A0A8X7URL5_BRACI,unreviewed,Pentatricopeptide repeat-containing protein,Bca52824_047888,Brassica carinata (Ethiopian mustard) (Abyssinian cabbage),381,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BI54,A0A8T2BI54_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_Aa02g001940,Arabidopsis thaliana x Arabidopsis arenosa,1265,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BS42,A0A8T2BS42_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As07g001630,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),628,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BN49,A0A8T2BN49_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As07g001960,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),623,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2GSS5,A0A8T2GSS5_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_At01g052880,Arabidopsis thaliana x Arabidopsis arenosa,633,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2BFQ3,A0A8T2BFQ3_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_Aa02g001930,Arabidopsis thaliana x Arabidopsis arenosa,785,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2HGF4,A0A8T2HGF4_ARASU,unreviewed,Pentatricopeptide repeat,ISN44_As01g052000,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),1156,AT1G62590.1,Genetic Information Processing,Pentatricopeptide
A0A8T2GS78,A0A8T2GS78_9BRAS,unreviewed,S-adenosyl-L-methionine-dependent methyltransferase,ISN45_At01g053500,Arabidopsis thaliana x Arabidopsis arenosa,892,AT1G62590.1,Defense & Resistance,thionin
Q9SXD1,PPR91_ARATH,reviewed,"Pentatricopeptide repeat-containing protein At1g62670, mitochondrial",At1g62670 F23N19.4 T3P18.22,Arabidopsis thaliana (Mouse-ear cress),630,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
Q9LPX2,PPR39_ARATH,reviewed,"Pentatricopeptide repeat-containing protein At1g12775, mitochondrial",At1g12775 F13K23.2,Arabidopsis thaliana (Mouse-ear cress),644,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
Q3ECK2,PPR92_ARATH,reviewed,"Pentatricopeptide repeat-containing protein At1g62680, mitochondrial",At1g62680 F23N19.22,Arabidopsis thaliana (Mouse-ear cress),548,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
Q9ASZ8,PPR37_ARATH,reviewed,Pentatricopeptide repeat-containing protein At1g12620,At1g12620 T12C24.15,Arabidopsis thaliana (Mouse-ear cress),621,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
Q0WKV3,PPR36_ARATH,reviewed,"Pentatricopeptide repeat-containing protein At1g12300, mitochondrial",At1g12300 F5O11.4,Arabidopsis thaliana (Mouse-ear cress),637,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
P0C7Q7,PPR38_ARATH,reviewed,"Putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial",At1g12700 T12C24.31,Arabidopsis thaliana (Mouse-ear cress),602,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
A0A1D1Z5J5,A0A1D1Z5J5_9ARAE,unreviewed,"Pentatricopeptide repeat-containing protein At1g62670, mitochondrial",At1g62670_1 g.37823,Anthurium amnicola,574,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
A0A3L6ECH7,A0A3L6ECH7_MAIZE,unreviewed,Pentatricopeptide repeat-containing protein,At1g62670_1 Zm00014a_028293,Zea mays (Maize),170,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
A0A3P6CD49,A0A3P6CD49_BRACM,unreviewed,RNA helicase,BRAA08T35189Z,Brassica campestris (Field mustard),1140,AT1G62670.1,Genetic Information Processing,RNA
C0MHR4,C0MHR4_ARATH,unreviewed,Pentatricopeptide repeat(PPR)-containing protein At1g12700,rpf1,Arabidopsis thaliana (Mouse-ear cress),278,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
C0MHR3,C0MHR3_ARATH,unreviewed,Pentatricopeptide repeat(PPR)-containing protein At1g12700,rpf1,Arabidopsis thaliana (Mouse-ear cress),602,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
A0A5S9U3T4,A0A5S9U3T4_ARATH,unreviewed,Uncharacterized protein,C24_LOCUS1284,Arabidopsis thaliana (Mouse-ear cress),621,AT1G62670.1,Uncharacterized,uncharacterized
A0A654E9D1,A0A654E9D1_ARATH,unreviewed,"Pentatricopeptide repeat-containing protein At1g12700, mitochondrial",AN1_LOCUS1378,Arabidopsis thaliana (Mouse-ear cress),602,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
A0A654EA46,A0A654EA46_ARATH,unreviewed,Uncharacterized protein,AN1_LOCUS1385,Arabidopsis thaliana (Mouse-ear cress),644,AT1G62670.1,Uncharacterized,uncharacterized
A0A1P8ANP1,A0A1P8ANP1_ARATH,unreviewed,RNA processing FACTOR,RPF1 RNA processing factor 1 At1g12700 T12C24.31 T12C24_31,Arabidopsis thaliana (Mouse-ear cress),618,AT1G62670.1,Regulation of Gene Expression,RNA processing
A0A178W7D7,A0A178W7D7_ARATH,unreviewed,Uncharacterized protein,AXX17_At1g12710 AN1_LOCUS1337,Arabidopsis thaliana (Mouse-ear cress),637,AT1G62670.1,Uncharacterized,uncharacterized
A0A5S9U0Z4,A0A5S9U0Z4_ARATH,unreviewed,Uncharacterized protein,C24_LOCUS1253,Arabidopsis thaliana (Mouse-ear cress),637,AT1G62670.1,Uncharacterized,uncharacterized
A0A5S9U266,A0A5S9U266_ARATH,unreviewed,"Pentatricopeptide repeat-containing protein At1g12700, mitochondrial",C24_LOCUS1301,Arabidopsis thaliana (Mouse-ear cress),644,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
A0A654E9A8,A0A654E9A8_ARATH,unreviewed,Uncharacterized protein,AN1_LOCUS1367,Arabidopsis thaliana (Mouse-ear cress),621,AT1G62670.1,Uncharacterized,uncharacterized
A0A178W3X6,A0A178W3X6_ARATH,unreviewed,Uncharacterized protein,AXX17_At1g13110,Arabidopsis thaliana (Mouse-ear cress),268,AT1G62670.1,Uncharacterized,uncharacterized
A0A5S9U3Y1,A0A5S9U3Y1_ARATH,unreviewed,Helicase C-terminal domain-containing protein,C24_LOCUS1294,Arabidopsis thaliana (Mouse-ear cress),717,AT1G62670.1,Uncategorized,
A0A178WBK2,A0A178WBK2_ARATH,unreviewed,Uncharacterized protein,AXX17_At1g13180,Arabidopsis thaliana (Mouse-ear cress),644,AT1G62670.1,Uncharacterized,uncharacterized
A0A178WH18,A0A178WH18_ARATH,unreviewed,Uncharacterized protein,AXX17_At1g13000,Arabidopsis thaliana (Mouse-ear cress),621,AT1G62670.1,Uncharacterized,uncharacterized
A5JVC4,A5JVC4_BRACM,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,,Brassica campestris (Field mustard),218,AT1G62670.1,Genetic Information Processing,Pentacotripeptide
A5JVD1,A5JVD1_BRACM,unreviewed,RFP1,,Brassica campestris (Field mustard),348,AT1G62670.1,Protein Processing and Degradation,RFP
A0A3P6GGJ7,A0A3P6GGJ7_BRAOL,unreviewed,RFP1,BOLC8T52250H,Brassica oleracea (Wild cabbage),584,AT1G62670.1,Protein Processing and Degradation,RFP
A0A078GN30,A0A078GN30_BRANA,unreviewed,BnaA09g46900D protein,BnaA09g46900D GSBRNA2T00035456001,Brassica napus (Rape),271,AT1G62670.1,Uncategorized,
A0A816V181,A0A816V181_BRANA,unreviewed,(rape) hypothetical protein,DARMORV10_C08P47120.1,Brassica napus (Rape),626,AT1G62670.1,Uncharacterized,hypothetical protein
A0A565ARA5,A0A565ARA5_9BRAS,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,ANE_LOCUS1583,Arabis nemorensis,637,AT1G62670.1,Genetic Information Processing,Pentacotripeptide
A0A1J3F3A7,A0A1J3F3A7_NOCCA,unreviewed,"Putative pentatricopeptide repeat-containing protein, mitochondrial",LC_TR19804_c1_g1_i1_g.66239,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),297,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
A0A078FT79,A0A078FT79_BRANA,unreviewed,BnaC08g40960D protein,BnaC08g40960D GSBRNA2T00090416001,Brassica napus (Rape),408,AT1G62670.1,Uncategorized,
A0A1J3J4N6,A0A1J3J4N6_NOCCA,unreviewed,"Putative pentatricopeptide repeat-containing protein, mitochondrial",MP_TR4736_c0_g1_i1_g.12576,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),340,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
A0A1J3HYC3,A0A1J3HYC3_NOCCA,unreviewed,"Putative pentatricopeptide repeat-containing protein, mitochondrial",LE_TR4562_c10_g1_i1_g.15796,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),266,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
A0A3P5YRT9,A0A3P5YRT9_BRACM,unreviewed,RFP1,BRAA09T41714Z BRAPAZ1V2_A09P76330.2,Brassica campestris (Field mustard),603,AT1G62670.1,Protein Processing and Degradation,RFP
A0A816PR47,A0A816PR47_BRANA,unreviewed,(rape) hypothetical protein,DARMORV10_A09P63860.1,Brassica napus (Rape),312,AT1G62670.1,Uncharacterized,hypothetical protein
A0A1J3FNN9,A0A1J3FNN9_NOCCA,unreviewed,"Pentatricopeptide repeat-containing protein, mitochondrial",LC_TR8837_c6_g1_i1_g.30631,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),197,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
A0A816PQ51,A0A816PQ51_BRANA,unreviewed,(rape) hypothetical protein,DARMORV10_A09P63650.1,Brassica napus (Rape),603,AT1G62670.1,Uncharacterized,hypothetical protein
A0A816PP22,A0A816PP22_BRANA,unreviewed,(rape) hypothetical protein,DARMORV10_A09P63620.1,Brassica napus (Rape),652,AT1G62670.1,Uncharacterized,hypothetical protein
A0A9W3BYN0,A0A9W3BYN0_RAPSA,unreviewed,"Pentatricopeptide repeat-containing protein At1g12700, mitochondrial isoform X1",LOC108811785,Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus),599,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
M4EDU7,M4EDU7_BRACM,unreviewed,RFP1,,Brassica campestris (Field mustard),603,AT1G62670.1,Protein Processing and Degradation,RFP
A0A078FT83,A0A078FT83_BRANA,unreviewed,(rape) hypothetical protein (BnaC08g40910D protein),BnaC08g40910D DARMORV10_C08P47110.1 GSBRNA2T00090422001,Brassica napus (Rape),408,AT1G62670.1,Uncharacterized,hypothetical protein
A0A3P6G254,A0A3P6G254_BRAOL,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,BOLC8T52279H,Brassica oleracea (Wild cabbage),1148,AT1G62670.1,Genetic Information Processing,Pentacotripeptide
R0IA38,R0IA38_9BRAS,unreviewed,RFP1,CARUB_v10012310mg,Capsella rubella,640,AT1G62670.1,Protein Processing and Degradation,RFP
V4L734,V4L734_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10007048mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),635,AT1G62670.1,Genetic Information Processing,Pentacotripeptide
A0A565AQ00,A0A565AQ00_9BRAS,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,ANE_LOCUS1564,Arabis nemorensis,617,AT1G62670.1,Genetic Information Processing,Pentacotripeptide
A0A816USI2,A0A816USI2_BRANA,unreviewed,(rape) hypothetical protein,DARMORV10_C08P47150.1,Brassica napus (Rape),604,AT1G62670.1,Uncharacterized,hypothetical protein
A0A078GJA0,A0A078GJA0_BRANA,unreviewed,BnaA09g47120D protein,BnaA09g47120D GSBRNA2T00035431001,Brassica napus (Rape),569,AT1G62670.1,Uncategorized,
A0A078H8E4,A0A078H8E4_BRANA,unreviewed,(rape) hypothetical protein (BnaA09g46030D protein),BnaA09g46030D DARMORV10_A09P62690.1 GSBRNA2T00055220001,Brassica napus (Rape),512,AT1G62670.1,Uncharacterized,hypothetical protein
A0A397YFC3,A0A397YFC3_BRACM,unreviewed,RFP1,BRARA_I05097,Brassica campestris (Field mustard),603,AT1G62670.1,Protein Processing and Degradation,RFP
A0A8D9D4N8,A0A8D9D4N8_BRACM,unreviewed,RFP1,BRAPAZ1V2_A09P76290.2,Brassica campestris (Field mustard),649,AT1G62670.1,Protein Processing and Degradation,RFP
A0A397YJF2,A0A397YJF2_BRACM,unreviewed,RFP1,BRARA_H02640,Brassica campestris (Field mustard),632,AT1G62670.1,Protein Processing and Degradation,RFP
A0A3P6GR77,A0A3P6GR77_BRAOL,unreviewed,RFP1,BOLC8T52254H,Brassica oleracea (Wild cabbage),604,AT1G62670.1,Protein Processing and Degradation,RFP
A0A0D3DXP2,A0A0D3DXP2_BRAOL,unreviewed,RFP1,,Brassica oleracea var. oleracea,584,AT1G62670.1,Protein Processing and Degradation,RFP
A0A0D3DXP6,A0A0D3DXP6_BRAOL,unreviewed,RFP1,106308434,Brassica oleracea var. oleracea,604,AT1G62670.1,Protein Processing and Degradation,RFP
M4EDU4,M4EDU4_BRACM,unreviewed,RFP1,,Brassica campestris (Field mustard),650,AT1G62670.1,Protein Processing and Degradation,RFP
A0A397Y4N8,A0A397Y4N8_BRACM,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,BRARA_I05094,Brassica campestris (Field mustard),454,AT1G62670.1,Genetic Information Processing,Pentacotripeptide
M4EDW1,M4EDW1_BRACM,unreviewed,RFP1,,Brassica campestris (Field mustard),629,AT1G62670.1,Protein Processing and Degradation,RFP
A0A0D3DXP3,A0A0D3DXP3_BRAOL,unreviewed,RFP1,106308433,Brassica oleracea var. oleracea,626,AT1G62670.1,Protein Processing and Degradation,RFP
A0A8S9K3D2,A0A8S9K3D2_BRACR,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,F2Q70_00041782,Brassica cretica (Mustard),244,AT1G62670.1,Genetic Information Processing,Pentacotripeptide
A0A8T2C2U5,A0A8T2C2U5_9BRAS,unreviewed,Pentatricopeptide repeat,ISN45_Aa01g004720,Arabidopsis thaliana x Arabidopsis arenosa,637,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
R0IKQ8,R0IKQ8_9BRAS,unreviewed,RFP1,CARUB_v10012052mg,Capsella rubella,602,AT1G62670.1,Protein Processing and Degradation,RFP
V4KZU8,V4KZU8_EUTSA,unreviewed,Pentacotripeptide-repeat region of PRORP domain-containing protein,EUTSA_v10007046mg,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum),636,AT1G62670.1,Genetic Information Processing,Pentacotripeptide
A0A6J0JHB1,A0A6J0JHB1_RAPSA,unreviewed,"Pentatricopeptide repeat-containing protein At1g12300, mitochondrial-like",LOC108807249,Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus),632,AT1G62670.1,Genetic Information Processing,Pentatricopeptide
A0A816UV80,A0A816UV80_BRANA,unreviewed,(rape) hypothetical protein,DARMORV10_C08P47380.1,Brassica napus (Rape),629,AT1G62670.1,Uncharacterized,hypothetical protein
