"Orthogroup","Aalpina_V4_priTranscripts","Ahalleri_v2.1.0.priTranscripts","Alyrata_v2.1.priTranscripts","Athaliana_Araport11.priTranscripts","Cpapayav_0.4_priTranscriptOnly"
"OG0000074","AALP_AA6G274500","Ah3G43930.1","","AT2G24205.1, AT3G42565.1, AT4G09545.1, AT5G36310.1, AT5G36320.1, AT5G36330.1, AT5G36340.1, AT5G36350.1, AT5G36360.1, AT5G36370.1, AT5G36380.1, AT5G36390.1, AT5G36400.1, AT5G36410.1, AT5G36420.1, AT5G36430.1, AT5G36440.1, AT5G36450.1, AT5G36460.1, AT5G36470.1, AT5G36480.1, AT5G36490.1, AT5G36500.1, AT5G36520.1, AT5G36540.1, AT5G36550.1, AT5G36657.1, AT5G36658.1, AT5G36659.1, AT5G36661.1, AT5G36662.1, AT5G36738.1, AT5G36739.1, AT5G42895.1, AT5G44495.1",""
"OG0000075","","Ah1G22220.1, Ah1G30990.1, Ah1G40430.1, Ah1G44620.1, Ah2G01260.1, Ah2G07660.1, Ah2G07670.1, Ah36U00050.1, Ah3G18160.1, Ah3G28940.1, Ah3G31300.1, Ah3G33960.1, Ah3G38790.1, Ah4G03110.1, Ah4G03120.1, Ah4G08280.1, Ah4G11140.1, Ah5G00560.1, Ah5G04080.1, Ah5G08610.1, Ah5G10540.1, Ah5G12430.1, Ah5G12440.1, Ah6G06380.1, Ah6G27810.1, Ah6G28280.1, Ah6G30650.1, Ah6G31610.1, Ah6G31980.1, Ah6G32650.1, Ah6G32740.1, Ah7G37330.1, Ah8G07340.1, Ah8G12500.1, Ah8G35130.1","AL7G37990.t1","AT1G36925.1",""
"OG0000077","AALP_AA1G075700, AALP_AA4G041500, AALP_AA4G041600","Ah1G46800.1, Ah1G50490.1, Ah1G50510.1, Ah1G50520.1, Ah3G26100.1, Ah4G13410.1, Ah4G13440.1, Ah5G14610.1, Ah5G14660.1, Ah5G14670.2","AL1G55940.t1, AL1G59850.t1, AL1G59870.t1, AL3G41990.t1, AL5G25230.t1, AL5G25240.t1, AL5G25250.t1","AT1G49100.1, AT1G51805.1, AT1G51810.1, AT1G51820.1, AT1G51830.2, AT1G51850.2, AT2G04300.2, AT2G29000.1, AT3G21340.1, AT3G46330.1, AT3G46340.1, AT3G46370.2, AT3G46400.1, AT3G46420.1, AT5G16900.1, AT5G59670.2",""
"OG0000083","","Ah1G31360.1, Ah1G45920.1, Ah2G06110.1, Ah3G02150.1, Ah3G36760.1, Ah3U00150.1, Ah4G16620.1, Ah5G10590.1, Ah5G10690.1, Ah5G11220.1, Ah7G31500.1, Ah8G12850.1, Ah8G16710.1","AL5G35340.t1, AL8G20100.t1, AL8G23770.t1","AT1G43680.1, AT2G02103.1, AT2G13450.1, AT2G13500.1, AT2G13510.1, AT2G16676.1, AT2G17905.1, AT2G17920.1, AT2G31590.1, AT2G41590.1, AT3G47920.1, AT3G57587.1, AT4G02000.1, AT4G04730.1, AT5G18636.1, AT5G25200.1, AT5G25600.1, AT5G35737.1, AT5G36228.1, AT5G51195.1",""
"OG0000086","AALP_AA8G320100","Ah8G12970.1","AL281U10020.t1, AL5G19750.t1, AL8G28624.t1","AT5G53670.1","evm.model.supercontig_100.30, evm.model.supercontig_11.83, evm.model.supercontig_118.27, evm.model.supercontig_123.1, evm.model.supercontig_141.4, evm.model.supercontig_1651.1, evm.model.supercontig_20.178, evm.model.supercontig_22.74, evm.model.supercontig_2244.1, evm.model.supercontig_2407.1, evm.model.supercontig_2644.1, evm.model.supercontig_2649.1, evm.model.supercontig_268.1, evm.model.supercontig_274.2, evm.model.supercontig_28.65, evm.model.supercontig_28.66, evm.model.supercontig_33.42, evm.model.supercontig_38.87, evm.model.supercontig_4.185, evm.model.supercontig_495.1, evm.model.supercontig_52.145, evm.model.supercontig_587.2, evm.model.supercontig_59.116, evm.model.supercontig_63.11, evm.model.supercontig_63.48, evm.model.supercontig_76.1, evm.model.supercontig_79.36, evm.model.supercontig_88.62, evm.model.supercontig_906.1"
"OG0000087","AALP_AAs52616U000100, AALP_AAs54992U000100","Ah1G12820.1, Ah1G15620.1, Ah1G25060.1, Ah1G43710.1, Ah2G00730.2, Ah2G14840.1, Ah3G17040.1, Ah3G23580.1, Ah3G23750.1, Ah5G19410.1, Ah6G25480.1, Ah6G25490.1, Ah6G36040.1, Ah7G09090.1, Ah8G05970.1, Ah8G08950.1, Ah8G09100.1, Ah8G09110.1","AL1G63190.t1, AL1G66070.t1, AL1G66310.t1, AL2G20190.t1, AL3G49730.t1, AL5G18020.t1, AL5G18610.t1, AL6G37670.t1","AT1G40087.1, AT1G42700.1, AT3G30200.1, AT5G28920.1","evm.TU.contig_35072.1, evm.TU.contig_35072.2, evm.model.supercontig_817.3"
"OG0000090","AALP_AA4G092400, AALP_AA7G035600, AALP_AA7G036700, AALP_AAs48788U000100","Ah1G46500.1, Ah1G46510.1, Ah7G22200.1, Ah7G32600.1, Ah7G32670.1, Ah8G05040.1","AL1G55520.t1, AL1G55540.t1, AL1G55550.t1, AL4G13120.t1, AL8G15000.t1, AL8G15010.t1, AL90U10010.t1, AL9U10450.t1, AL9U10470.t1","AT1G48800.1, AT1G48820.1, AT1G66020.1, AT1G70080.1, AT2G23230.2, AT3G29110.1, AT3G29190.1, AT4G13280.2, AT4G13300.1, AT4G15870.1, AT4G20200.1, AT4G20210.1, AT4G20230.2, AT5G44630.1, AT5G48110.1",""
"OG0000093","AALP_AA1G345400, AALP_AA4G007200, AALP_AA4G007300","Ah3G27010.1, Ah3G27090.1","AL3G36200.t3, AL3G36220.t1, AL3G38320.t1","AT3G21940.1, AT3G21980.1, AT3G21990.1, AT3G22000.1, AT3G22010.1, AT3G22020.1, AT3G22030.1, AT3G22040.1, AT3G22050.1, AT3G22053.1, AT4G20530.1, AT4G20540.1, AT4G20550.1, AT4G20560.1, AT4G20570.1, AT4G20580.1, AT4G20590.1, AT4G20600.1, AT4G20610.1, AT4G20620.1, AT4G20630.1, AT4G20640.1, AT4G20645.1, AT4G20670.1, AT4G20680.1",""
"OG0000095","AALP_AA4G095700, AALP_AA8G301100","Ah1G33210.1, Ah1G44720.1, Ah2G25450.1, Ah3G14490.1, Ah3G22080.1, Ah3G31990.1, Ah3G34000.1, Ah3G41260.1, Ah3G44340.1, Ah4G06780.2, Ah4G10640.1, Ah4G29400.1, Ah5G08670.1, Ah5G09120.1, Ah5G09160.1, Ah5G11330.1, Ah5G21650.1, Ah5G28840.1, Ah63U00060.1, Ah6G05000.1, Ah6G18100.1, Ah7G22280.1, Ah7G34370.1, Ah8G03320.1, Ah8G07610.1, Ah8G08290.1, Ah8G29830.1","AL2G13960.t1, AL6G32670.t2","AT1G18050.1, AT3G30370.1",""
"OG0000096","AALP_AA8G022500","Ah2G04000.1, Ah2G15640.1, Ah2G15670.1, Ah4G08710.1, Ah4G08720.1, Ah4G09440.1, Ah8G10740.1","AL4G14040.t1, AL5G23490.t1, AL6G44610.t1","AT1G29180.1, AT1G34480.1, AT1G44020.1, AT1G44030.2, AT1G45243.1, AT1G62030.1, AT1G66440.1, AT1G66450.2, AT2G28460.1, AT3G21210.1, AT3G26240.1, AT3G26250.1, AT3G50010.1, AT4G02540.1, AT4G10560.1, AT4G13130.1, AT4G15070.1, AT4G26380.1, AT5G03355.1, AT5G03360.1, AT5G37210.1, AT5G48320.1",""
"OG0000100","AALP_AA1G344500","Ah1G28690.1, Ah1G39100.1, Ah2G00180.1, Ah2G03190.1, Ah2G05350.1, Ah2G13700.1, Ah3G15780.1, Ah3G15920.1, Ah3G33030.1, Ah3G34160.1, Ah3G35240.1, Ah3G35250.1, Ah3G37860.1, Ah4G34070.1, Ah5G10820.1, Ah5G12170.1, Ah6G28790.1, Ah6G38280.1, Ah7G09430.1, Ah7G09900.1, Ah7G26660.1, Ah7G27850.1, Ah7G33370.1, Ah7G35250.1, Ah8G01930.1, Ah8G04650.1, Ah8G08940.1, Ah8G16510.1","AL5G18060.t1","AT1G31960.1, AT2G11462.1",""
"OG0000103","AALP_AA6G045600","Ah1G03110.1, Ah1G03120.1, Ah2G09140.1, Ah6G40400.5, Ah6G40430.1, Ah6G40460.1, Ah6G40510.1, Ah7G30460.3","AL1G13160.t1, AL3G14640.t1, AL6G39950.t1, AL6G49410.t1, AL6G49420.t1, AL7G41810.t1, AL7G41820.t1","AT1G03660.1, AT1G03670.1, AT4G03440.1, AT4G03450.1, AT4G03460.1, AT4G03470.1, AT4G03480.1, AT4G03490.3, AT4G03495.1, AT4G03500.1, AT4G03505.1, AT4G05040.1, AT4G14390.1, AT4G14400.1","evm.model.supercontig_34.145, evm.model.supercontig_34.146"
"OG0000106","AALP_AA3G105100, AALP_AA7G029700","Ah1G53640.1, Ah3G10640.1, Ah6G22670.2, Ah6G40020.1","AL1G63060.t1, AL2G21240.t1, AL2G21890.t1, AL4G28930.t1, AL6G12540.t1, AL6G32160.t1, AL6G35910.t1, AL6G48650.t1, AL6G48900.t1, AL6G48930.t1, AL6G49350.t1, AL6G50030.t1, AL7G44880.t1","AT1G55060.1, AT1G65350.1, AT4G02890.3, AT4G05050.2, AT4G05320.2, AT5G03240.3, AT5G20620.1, AT5G37640.1","evm.TU.contig_27582.1, evm.model.supercontig_198.11, evm.model.supercontig_97.60, evm.model.supercontig_97.61"
"OG0000107","AALP_AA8G428200, AALP_AA8G433800, AALP_AA8G433900","Ah1G31400.1, Ah1G31490.1, Ah3G36050.1, Ah4G04480.1, Ah7G32270.1","AL1G40990.t1, AL1G41000.t1, AL1G41010.t1, AL1G41020.t1, AL2G26330.t1, AL3G43390.t1, AL3G43980.t1, AL3G44020.t1, AL3G44030.t1, AL3G44060.t1, AL3G46030.t1, AL4G14150.t1, AL4G14170.t1, AL6G37020.t1, AL6G37130.t1","AT1G27540.3, AT1G27550.1, AT1G27580.1, AT2G14290.1, AT2G14500.1, AT2G24080.1, AT5G25290.1, AT5G25300.1",""
"OG0000118","AALP_AA2G197100, AALP_AA7G187800","Ah1G39400.1, Ah2G13010.1, Ah5G06470.1, Ah6G44000.1, Ah7G09390.1, Ah8G08160.1","AL2G19800.t1, AL3G23800.t1, AL7G18580.t1, AL7G45480.t1, AL8G15920.t1, AL8G33020.t1","AT1G04625.1, AT1G27870.1, AT1G47497.1, AT1G50160.1, AT1G77815.1, AT2G02650.1, AT2G04420.1, AT2G11205.1, AT2G46460.1, AT3G09510.1, AT3G25270.1, AT3G32130.1, AT4G03292.1, AT4G09775.1, AT5G43755.1","evm.model.supercontig_19.281"
"OG0000126","AALP_AA1G074500, AALP_AA8G053200","Ah4G13690.1, Ah4G13700.2, Ah4G13790.1, Ah4G13820.1, Ah4G13890.1, Ah4G13900.1","AL1G17600.t1, AL41U10050.t1, AL41U10060.t1, AL4G23710.t1, AL4G23730.t1, AL4G23850.t2, AL4G23910.t1, AL4G23920.t1, AL4G23930.t1, AL6G16010.t1, AL84U10010.t1","AT2G29150.1, AT2G29170.1, AT2G29260.1, AT2G29290.2, AT2G29350.1, AT2G29360.1, AT2G29370.1, AT5G06060.1","evm.model.supercontig_19.276, evm.model.supercontig_81.93"
"OG0000141","AALP_AA1G197200, AALP_AA3G298900, AALP_AA3G299000, AALP_AA3G340700, AALP_AA4G101400, AALP_AA4G102200, AALP_AA6G351100, AALP_AAs44974U000100, AALP_AAs51526U000200, AALP_AAs68076U000100, AALP_AAs68076U000300, AALP_AAs69602U000100, AALP_AAs69602U000300, AALP_AAs69602U000700, AALP_AAs71336U000100, AALP_AAs71644U000100, AALP_AAs73006U000200, AALP_AAs73006U000300","Ah7G31570.1, Ah7G31590.1","AL7G42590.t1, AL7G42710.t1","AT4G13810.2, AT4G13820.1, AT4G13880.1, AT4G13920.1","evm.model.supercontig_211.17, evm.model.supercontig_211.19"
"OG0000142","AALP_AA1G300400, AALP_AA1G300600, AALP_AA1G301800, AALP_AA1G301900, AALP_AA1G302000, AALP_AA1G302400, AALP_AA1G302500, AALP_AA1G303000, AALP_AA8G354200, AALP_AA8G354400","Ah1G33880.1, Ah1G33910.1, Ah1G33940.1, Ah1G33990.1, Ah1G34000.1","AL1G43240.t1, AL1G43260.t1, AL1G43270.t1, AL1G43320.t1","AT1G29420.2, AT1G29430.1, AT1G29440.1, AT1G29450.1, AT1G29460.2, AT1G29490.1, AT1G29500.1, AT1G29510.1, AT5G27780.1",""
"OG0000147","AALP_AA1G344300, AALP_AA4G218000","Ah3G12500.1, Ah4G26850.1, Ah4G32010.1, Ah4G32030.1, Ah4G32040.2, Ah4G32220.1, Ah7G25430.1","AL4G34310.t1, AL4G36610.t1, AL4G37620.t1, AL4G37630.t1, AL4G41930.t1, AL4G41950.t1, AL4G42180.t1, AL5G41700.t1, AL5G41710.t1, AL7G36780.t1","AT2G30385.1, AT2G30615.1, AT2G42955.1, AT2G43260.2, AT2G43270.1, AT2G43440.1, AT2G43445.1, AT4G17780.1",""
"OG0000150","AALP_AA1G335500, AALP_AA2G125600, AALP_AA3G191600, AALP_AA4G102600, AALP_AA6G076700, AALP_AA7G209000","Ah1G44300.1, Ah5G18490.1, Ah8G33660.1","AL1G45620.t1, AL2G14000.t1, AL2G14020.t1, AL4G22300.t1, AL4G27390.t1, AL4G27770.t1, AL5G29210.t1, AL5G29234.t1, AL5G29300.t1, AL8G43560.t1","AT1G46840.1, AT1G46912.1, AT1G46984.1, AT2G19630.1, AT2G31470.1, AT3G23960.1, AT3G49450.1, AT5G65850.1",""
"OG0000158","AALP_AA1G116400, AALP_AA5G268400","Ah5G32660.1","AL5G43410.t1","AT3G61170.1","evm.TU.contig_28770.1, evm.TU.contig_41021.1, evm.TU.contig_47523.1, evm.model.supercontig_10.118, evm.model.supercontig_157.36, evm.model.supercontig_17.169, evm.model.supercontig_18.212, evm.model.supercontig_18.213, evm.model.supercontig_19.6, evm.model.supercontig_26.246, evm.model.supercontig_26.275, evm.model.supercontig_52.123, evm.model.supercontig_52.124, evm.model.supercontig_54.11, evm.model.supercontig_6.399, evm.model.supercontig_67.29, evm.model.supercontig_75.84, evm.model.supercontig_82.7, evm.model.supercontig_85.121, evm.model.supercontig_9.390, evm.model.supercontig_92.22"
"OG0000159","AALP_AA1G195700, AALP_AA1G212600, AALP_AA1G212900, AALP_AA1G247800, AALP_AA2G237300, AALP_AA2G248200, AALP_AA2G257100, AALP_AA2G263200, AALP_AA4G147800, AALP_AAs49775U000100, AALP_AAs57564U000100, AALP_AAs58191U000100","Ah2G20260.1, Ah2G32360.1, Ah2G32380.1, Ah3G30860.1","AL1G49160.t1, AL2G28900.t1, AL2G40360.t1, AL2G40380.t1, AL3G39500.t1, AL3G52410.t1, AL3G52430.t1, AL3G52440.t1","AT1G69730.1, AT1G79680.1",""
"OG0000164","AALP_AA5G029300, AALP_AA5G029400, AALP_AA5G029900, AALP_AA5G030000, AALP_AA5G031400, AALP_AA5G031500, AALP_AA8G361500","Ah5G04560.1, Ah5G04580.1, Ah5G04590.1, Ah5G04600.1","AL5G15010.t1, AL5G15040.t1, AL5G15050.t1, AL5G15060.t1, AL5G15070.t1, AL5G15090.t1, AL5G15100.t1, AL8G33230.t1","AT2G02580.1, AT3G26290.2, AT3G26300.1, AT3G26310.1, AT3G26320.1, AT3G26330.1, AT5G57260.1",""
"OG0000166","AALP_AA8G326500","Ah4G04760.1, Ah4G05660.1, Ah4G05690.1, Ah4G05780.1","AL4G14510.t1, AL4G14520.t1, AL4G14530.t1, AL4G15500.t1, AL4G15530.t1, AL4G15555.t1, AL4G15560.t1, AL4G15600.t1, AL4G15620.t1, AL4G15660.t1, AL4G18480.t1, AL4G18490.t1, AL4G18500.t1, AL4G18510.t1, AL4G18540.t1, AL4G18550.t1, AL4G18560.t1, AL4G18570.t1","AT1G64840.1, AT2G24250.2","evm.model.supercontig_62.77"
"OG0000167","AALP_AA8G261100","Ah2G03970.2, Ah2G28500.1, Ah2U01570.1, Ah3G33720.1, Ah3G36930.1, Ah4G34560.1, Ah5G32110.1, Ah6G39150.2, Ah7G20000.2, Ah7G27100.1","AL2G13870.t1, AL3G43130.t1, AL4G44290.t1, AL5G42950.t1, AL6G48090.t1, AL7G31720.t1, AL7G38430.t1","AT1G62040.1, AT2G45170.1, AT3G60640.1, AT4G04620.3, AT4G21980.2","evm.model.supercontig_12.293, evm.model.supercontig_49.158, evm.model.supercontig_87.80"
"OG0000170","","Ah3G33670.1","AL1G47470.t1, AL1G57350.t1, AL1G61980.t1, AL1G65170.t1, AL2G18420.t1, AL2G23340.t1, AL3G37720.t1, AL3G38140.t1, AL4G24150.t1, AL5G12220.t1, AL5G19650.t1, AL5G23180.t1, AL6G42710.t1, AL6G47390.t1, AL77U10040.t1, AL8G10130.t1, AL8G13660.t1, AL8G20430.t1, AL8G23090.t1, AL8G45390.t1, AL9U10210.t1","AT2G11015.1, AT4G06490.1, AT5G29050.1, AT5G33898.1",""
"OG0000182","AALP_AA5G098000","Ah1G44520.1, Ah3G37690.1, Ah5G02040.1","AL1G53500.t1, AL1G53520.t1, AL1G53540.t1, AL3G47440.t1, AL3G52270.t1, AL3G52280.t1, AL3G52290.t1, AL4G10320.t1, AL4G13020.t1, AL5G12460.t1, AL5G12470.t1, AL5G12480.t1, AL5G12490.t1, AL5G19300.t1, AL9U10990.t1, AL9U11000.t1","AT1G47300.1, AT1G47340.1, AT1G47350.1, AT1G60370.1, AT2G23160.1",""
"OG0000184","AALP_AA6G066400, AALP_AA6G066500, AALP_AA6G074600","Ah4G19110.1","AL199U10010.t1, AL3G40650.t1, AL3G40700.t1, AL3G40730.t1, AL3G41940.t1, AL4G16860.t1, AL4G28600.t1, AL4G28610.t1, AL4G28630.t1, AL4G28950.t1, AL7G37050.t1","AT2G25440.1, AT2G32680.1, AT2G33020.1, AT2G33050.1, AT2G33060.1, AT2G33080.1, AT3G24900.2, AT3G24982.1, AT3G25010.2, AT3G25020.1",""
"OG0000185","AALP_AA6G028200, AALP_AA6G028400, AALP_AA7G059800, AALP_AA7G174300, AALP_AAs39757U000400, AALP_AAs43447U000100, AALP_AAs48628U000100, AALP_AAs50181U000200, AALP_AAs54743U000100, AALP_AAs67984U000400","Ah7G18440.1, Ah7G18500.1, Ah7G18530.1, Ah7G18540.1","AL6G46030.t1, AL7G30210.t1, AL7G30250.t2, AL7G30290.t1, AL7G30330.t2, AL7G30340.t1","AT4G23140.2, AT4G23150.1, AT4G23160.2, AT4G23180.1, AT4G23230.1",""
"OG0000186","AALP_AAs51945U000100","Ah1U00630.1, Ah1U00640.1, Ah2G03690.1, Ah2G08150.1, Ah2G08230.1, Ah2G11370.1, Ah2G12500.1, Ah2G12530.1, Ah2G14290.1, Ah3G31810.1, Ah3G35360.1, Ah3U00660.1, Ah4G05750.1, Ah4G09300.1, Ah5G09240.1, Ah5G17140.1, Ah5G30340.1, Ah6G29610.1, Ah6G32940.1","AL4G14050.t1, AL8G21750.t1","AT2G06425.1, AT4G04265.1, AT5G34581.1",""
"OG0000188","","Ah3G23790.1, Ah3G24350.1","AL1G21870.t1, AL1G35700.t1, AL1G39630.t1, AL1G40180.t1, AL275U10020.t1, AL2G13920.t1, AL2G18650.t1, AL3G25690.t1, AL3G25710.t1, AL3G25930.t1, AL3G27510.t1, AL3G33320.t1, AL3G33370.t1, AL3G33690.t1, AL3G33700.t1, AL3G40230.t1, AL3G51580.t1, AL5G24990.t1, AL8G25210.t1","AT3G19880.1, AT3G20030.1, AT4G05080.1, AT5G60560.2",""
"OG0000192","AALP_AA1G152400, AALP_AA1G270500, AALP_AA4G150700, AALP_AA6G338700, AALP_AA8G282400, AALP_AAs63530U000100, AALP_AAs67696U000900, AALP_AAs70484U000200","Ah1U00370.1, Ah2G10450.1, Ah3G32310.1, Ah4G09200.1, Ah4G34180.1, Ah5G00720.1, Ah7G10690.1, Ah7G17310.1, Ah7G35400.1, Ah7G39940.1","AL4G19930.t1, AL7G50110.t1","AT2G13770.1, AT3G29631.1, AT5G39980.1","evm.model.supercontig_14.54"
"OG0000196","AALP_AA3G164500, AALP_AA3G164700, AALP_AA3G164800, AALP_AA3G165300, AALP_AA3G165400","Ah3G17260.1, Ah3G17270.1, Ah3G17290.2, Ah3G17300.1, Ah3G17310.1, Ah3G17320.1, Ah3G17340.1, Ah3G17350.1","AL3G26950.t1, AL3G26960.t1, AL3G26980.t1, AL3G27000.t1","AT3G14610.1, AT3G14630.2, AT3G14640.2, AT3G14650.1, AT3G14660.1, AT3G14680.1, AT3G14690.2",""
"OG0000199","AALP_AA4G084500","Ah1G51980.1, Ah3G13360.1, Ah5G03400.1","AL1G53940.t1, AL1G61300.t1, AL3G23600.t1, AL5G13870.t1, AL5G13880.t1, AL5G13890.t1, AL5G13900.t1, AL5G13910.t1, AL9U10560.t1","AT1G45190.1, AT1G47450.1, AT1G47470.1, AT1G52970.1, AT2G04031.1, AT2G04037.1, AT2G04041.1, AT3G11990.1, AT4G13261.1, AT4G13263.1, AT5G35405.1",""
"OG0000200","AALP_AA6G316100, AALP_AA6G318300, AALP_AA6G323400, AALP_AA6G323600, AALP_AA7G219900, AALP_AA8G239800","Ah1G40330.1, Ah4G11920.1, Ah7G41480.6, Ah7G42350.1, Ah7G42580.1","AL4G22240.t1, AL7G47540.t1, AL7G47550.t1, AL7G47570.t1, AL7G47590.t1, AL7G47600.t1, AL7G47850.t1, AL7G47870.t1, AL7G47890.t1, AL7G48650.t1, AL7G48660.t1, AL7G48670.t1","AT5G40910.1",""
"OG0000202","AALP_AA6G028000, AALP_AA6G028100, AALP_AA6G028600, AALP_AA7G056300, AALP_AA7G061400, AALP_AA7G061600, AALP_AA8G191500","Ah5G14080.1, Ah7G18290.1, Ah7G18300.1, Ah7G18310.1, Ah7G18320.1, Ah7G18340.1, Ah7G18510.1, Ah7G18520.1, Ah7G18550.2","AL5G24542.t1, AL7G30310.t1, AL7G30350.t1","AT3G45860.1, AT4G23130.2, AT4G23270.3, AT4G23280.1, AT4G23310.1",""
"OG0000205","AALP_AA1G178100, AALP_AA2G067000, AALP_AA2G110500, AALP_AA2G240100, AALP_AA3G280300, AALP_AA4G017000, AALP_AA4G121100, AALP_AA5G065400, AALP_AA5G099300, AALP_AA6G031900, AALP_AA6G070400, AALP_AA6G334000, AALP_AA7G124000, AALP_AA7G187700, AALP_AA8G120300, AALP_AAs42246U000100, AALP_AAs46456U000100, AALP_AAs75041U000100","Ah4G08580.1, Ah6G30450.1, Ah7G35580.1","","AT3G31430.1, AT3G42140.1",""
"OG0000206","AALP_AA1G298700, AALP_AA2G027400, AALP_AA6G051100, AALP_AA8G245700, AALP_AAs52011U000100","Ah7G36230.1, Ah7G36270.1","AL1G52660.t1, AL7G38360.t1, AL7G38390.t1, AL7G46040.t1, AL7G46050.t1, AL7G46150.t1, AL7G46160.t1","AT2G03010.1, AT4G09440.1, AT4G16530.1, AT5G37410.2, AT5G37420.1, AT5G37430.1, AT5G37460.1, AT5G37470.2, AT5G37920.1",""
"OG0000207","AALP_AA1G044600, AALP_AA4G146600, AALP_AA5G265900","Ah5G17680.1, Ah5G23570.1, Ah7G33810.1, Ah7G42520.4","AL5G28190.t3, AL5G28350.t1, AL7G46090.t1, AL7G46120.t1, AL7G47660.t1, AL7G48270.t1, AL7G48800.t1, AL7G49110.t2, AL7G49130.t1, AL7G49150.t1, AL7G49680.t2, AL7G49700.t1, AL7G49950.t1","AT1G45100.1, AT3G10845.1, AT5G41690.2",""
"OG0000210","AALP_AA2G178900, AALP_AA2G180500, AALP_AA2G180600, AALP_AAs73148U000100","Ah2G08540.1, Ah2G25490.1, Ah2G25500.1, Ah2G25510.1, Ah2G25530.2, Ah4G07010.1, Ah4G07020.1, Ah4G10330.1, Ah8G12520.1","AL1G64890.t1, AL2G34080.t1, AL4G16880.t1","AT1G54470.1, AT1G74170.2, AT1G74180.1, AT1G74190.1, AT1G74200.1, AT2G25470.3, AT5G49290.2",""
"OG0000213","AALP_AA3G134400, AALP_AA3G134500, AALP_AA3G134600","Ah3G13850.1, Ah4G18080.1, Ah4G22710.1","AL3G24070.t1, AL3G24080.t1, AL3G24090.t1, AL3G24100.t1, AL3G53960.t1, AL4G22960.t1, AL4G27870.t1, AL4G32200.t1","AT2G36110.1, AT3G12410.1, AT3G12420.1, AT3G12430.1, AT3G12440.1, AT3G12460.1, AT3G12470.1","evm.model.supercontig_516.2, evm.model.supercontig_9.30"
"OG0000217","AALP_AA5G032200, AALP_AA5G038300, AALP_AA6G048000, AALP_AA6G211200, AALP_AA6G211300, AALP_AAs56901U000600, AALP_AAs56901U000700","Ah6G40170.1, Ah6G40190.1","AL320U10010.t1, AL6G45160.t1, AL6G49050.t1, AL6G49084.t1, AL6G49090.t1, AL6G49140.t1, AL6G49150.t1, AL8G26930.t1, AL9U10540.t1, AL9U10550.t1","AT4G03635.1, AT4G05460.1, AT4G05470.1, AT4G05475.1",""
"OG0000220","AALP_AA7G048600, AALP_AA8G507900","Ah7G18780.1, Ah7G19680.1","AL1G60840.t1, AL6G37030.t1, AL7G30780.t1, AL7G31470.t1, AL7G31480.t1, AL7G31490.t1, AL7G31500.t1, AL7G31510.t1, AL7G31520.t1, AL8G44570.t1","AT1G69090.1, AT4G14165.1, AT4G22035.1, AT4G22060.1, AT4G22165.1, AT4G22170.1, AT4G22180.1, AT4G22660.1, AT5G66830.1",""
"OG0000224","","Ah1G50760.1, Ah1G50810.1, Ah2G03160.1, Ah2G05190.1, Ah2G09930.1, Ah2G14090.1, Ah2G14450.1, Ah30U00030.1, Ah3G31390.1, Ah4G05970.1, Ah4G20510.1, Ah4G21420.1, Ah4G21450.1, Ah5G24290.1, Ah6G11240.1, Ah6G27210.1, Ah7G21070.1, Ah7G35450.1, Ah8G08220.1, Ah8G10760.1","AL3G49830.t1, AL9U10150.t2","AT1G20400.1",""
"OG0000228","AALP_AA1G023900, AALP_AA1G219300, AALP_AA2G233000, AALP_AA2G233200, AALP_AA2G233300, AALP_AA2G234900, AALP_AA3G068700, AALP_AA3G076300, AALP_AA3G076400, AALP_AA3G108600, AALP_AA3G121400, AALP_AA8G310400, AALP_AAs68437U000100","Ah3G37040.1, Ah7G35500.1","AL3G46810.t1, AL3G46820.t1, AL7G45500.t1","AT1G66100.1, AT1G72260.1, AT2G15010.1, AT5G36910.1",""
"OG0000242","AALP_AA7G004500, AALP_AA7G252900","Ah1G15860.1, Ah1G39150.1, Ah6G03020.1, Ah6G03040.1, Ah6G03060.2, Ah6G03070.1, Ah6G09050.1, Ah7G36490.1","AL1G25630.t2, AL1G48230.t1, AL3G11550.t1, AL3G38420.t1, AL6G12550.t1, AL6G12860.t1, AL6G12880.t1, AL6G12890.t1, AL6G12910.t1, AL777U10010.t1","AT5G03480.1, AT5G03495.1",""
"OG0000248","AALP_AA1G327000, AALP_AA1G327100, AALP_AA1G349500, AALP_AA2G003200, AALP_AA3G059400, AALP_AA3G061700, AALP_AA5G111000, AALP_AA6G003000, AALP_AA6G005300, AALP_AA6G114900, AALP_AA6G323700, AALP_AA8G199500, AALP_AAs48720U000100, AALP_AAs55662U000100, AALP_AAs58361U000200, AALP_AAs59823U000400, AALP_AAs63184U000200, AALP_AAs63622U000200","Ah2G09010.1, Ah7G26510.1","","AT4G04110.1",""
"OG0000253","AALP_AA2G259700, AALP_AA3G276600, AALP_AA4G092100, AALP_AA4G143500, AALP_AA6G002100, AALP_AA7G273900, AALP_AA7G274000, AALP_AA7G274100, AALP_AA7G274200, AALP_AAs46347U000100","Ah2U01640.1","AL6G47530.t1, AL6G47540.t1, AL7G11590.t1, AL7G11600.t1, AL7G11690.t1, AL8G15990.t1, AL8G23920.t1, AL9U11020.t1","AT4G39550.1, AT4G39560.1",""
