accession,assembly,sample_name,location,latitude,longitude,pop_name,PC1,PC2,busco_complete_pct,contig_n50_mbp,total_length_mbp,OG0000009,OG0000012,OG0000015,OG0000016,OG0000022,OG0000024,OG0000027,OG0000029,OG0000030,OG0000039,OG0000040,OG0000042,OG0000045,OG0000046,OG0000047,OG0000049,OG0000054,OG0000060,OG0000065,OG0000074,OG0000075,OG0000077,OG0000083,OG0000087,OG0000090,OG0000093,OG0000095,OG0000096,OG0000100,OG0000103,OG0000106,OG0000107,OG0000118,OG0000126,OG0000141,OG0000142,OG0000147,OG0000150,OG0000159,OG0000164,OG0000170,OG0000182,OG0000184,OG0000185,OG0000186,OG0000192,OG0000196,OG0000199,OG0000205,OG0000206,OG0000210,OG0000217,OG0000220,OG0000224,OG0000228,OG0000242,OG0000255,OG0000261,OG0000264,OG0000266,OG0000269,OG0000271,OG0000276,OG0000297,OG0000298,OG0000299,OG0000319,OG0000325,OG0000329,OG0000338,OG0000343,OG0000348,OG0000361,OG0000367,OG0000372,OG0000375,OG0000382,OG0000384,OG0000385,OG0000386,OG0000388,OG0000402,OG0000434,OG0000440,OG0000442,OG0000445,OG0000448,OG0000452,OG0000473,OG0000500,OG0000501,OG0000503,OG0000504,OG0000510,OG0000513,OG0000534,OG0000535,OG0000546,OG0000589,OG0000594,OG0000598,OG0000601,OG0000618,OG0000620,OG0000639,OG0000679,OG0000692,OG0000725,OG0000728,OG0000731,OG0000736,OG0000739,OG0000761,OG0000817,OG0000822,OG0000862,OG0000887,OG0000893,OG0000907,OG0000913,OG0000949,OG0000962,OG0001019,OG0001038,OG0001079,OG0001115,OG0001127,OG0001135,OG0001136,OG0001139,OG0001196,OG0001202,OG0001349,OG0001363,OG0001395,OG0001398,OG0001408,OG0001688,OG0001769,OG0001820,OG0001885,OG0001893,OG0001918,OG0001927,OG0001929,OG0002370,OG0002742,OG0002829,OG0002883,OG0002891,OG0002892,OG0002893,OG0002919,OG0003687,OG0003730,OG0003808,OG0003820,cec_0_5cm,cec_5_15cm,pH_0_5cm,soc_5_15cm,bio3,bio4,bio8,bio10,bio13,bio15,bio18,te_int_frac
GCA_036936895.1,ASM3693689v1,ASM3693689v1,Italy,44.5,9.5,Mr-0,-0.263698445,-0.585899229,99.4,14,139.368761,31,28,17,32,16,18,22,9,21,11,14,9,1,11,5,10,14,13,11,89,1,14,17,5,15,54,1,22,2,9,10,9,12,8,4,11,8,8,2,7,4,5,10,4,3,3,7,15,0,10,7,4,9,0,4,2,1,15,8,3,13,8,9,7,10,5,2,9,14,1,5,10,4,1,8,1,8,3,1,4,1,8,3,2,9,3,2,1,10,18,2,2,9,7,4,5,2,7,1,2,3,13,3,2,2,7,7,1,5,7,8,10,5,1,2,1,1,1,5,4,19,5,5,8,1,4,3,1,5,3,1,4,6,1,2,0,2,7,3,6,7,1,1,1,3,3,4,2,3,3,5,3,2,2,2,1,1,20.9,17,5.8,60.6,0.292000008,584.3,8.65,15.65,217,35.9,248.2,0.239660027
GCA_036936905.1,ASM3693690v1,ASM3693690v1,Russia,55.78,37.62,Ms-0,-1.363249966,9.141792668,99.4,13,136.611995,31,29,17,33,16,17,21,10,21,11,16,9,1,11,5,10,11,13,9,111,1,13,19,5,16,17,1,24,2,8,7,8,13,8,4,11,6,8,2,7,3,5,14,4,3,3,7,15,1,10,7,4,9,1,3,2,1,15,7,3,12,9,5,9,10,5,2,10,15,1,5,12,4,1,8,1,8,3,1,4,1,8,4,2,5,3,2,1,11,17,2,2,9,8,4,5,2,7,0,1,3,19,3,3,2,10,7,1,5,6,7,12,5,0,2,1,1,1,5,4,20,5,4,7,1,4,2,1,4,3,0,4,6,1,2,0,2,7,3,7,7,1,1,2,3,2,4,2,8,3,5,2,2,2,2,1,2,20.8,17.5,6.6,21,0.203999996,958,17.45,17.45,86.2,29.5,251.2,0.229549096
GCA_036936915.1,ASM3693691v1,ASM3693691v1,Portugal,40.23,-8.43,Co-4,-0.457973833,-3.288405517,99.4,15,134.924136,31,29,18,32,16,15,22,10,21,11,16,10,1,11,4,10,10,13,9,96,1,12,17,4,13,40,1,21,2,11,6,9,14,8,4,12,8,8,2,7,1,5,13,4,3,3,7,15,1,11,7,4,9,1,3,2,0,14,8,3,14,9,7,9,10,5,2,9,15,1,6,11,3,1,8,1,8,3,1,4,1,8,4,2,14,2,2,1,10,16,2,2,9,7,4,5,2,7,0,1,3,16,3,3,1,10,8,1,5,6,9,10,5,1,2,1,1,1,5,4,24,5,4,8,1,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,6,0,0,2,2,3,4,2,3,2,5,2,2,2,2,0,2,19.5,17.5,7,15,0.428000021,435.3,13.05,21.05,149.4,52.8,84.4,0.221423615
GCA_036936945.1,ASM3693694v1,ASM3693694v1,Estonia,58.3,25.3,Est-1,-3.088040584,5.042336285,99.4,12,136.582209,30,30,17,35,16,15,23,8,21,12,16,10,1,11,5,10,15,15,9,92,1,13,20,5,16,16,1,23,2,14,9,9,15,8,4,11,8,8,2,7,4,5,13,4,3,3,7,15,2,11,7,4,9,0,3,2,1,15,6,4,14,9,6,9,10,5,2,10,13,1,6,12,4,1,8,1,8,2,1,4,1,8,4,2,17,3,2,1,11,16,2,2,9,8,4,5,1,7,1,2,3,19,3,3,2,10,8,1,5,7,10,9,5,1,2,0,1,1,5,4,21,5,4,5,1,4,2,1,5,3,1,4,5,1,2,0,2,7,3,8,7,1,1,2,3,3,4,2,9,3,4,2,2,2,2,1,2,24.3,12.1,6.3,19.5,0.225,784.6,16.15,16.15,95,28.4,272.9,0.230376945
GCA_036936955.1,ASM3693695v1,ASM3693695v1,Lebanon,33.92,35.7,Had-6b,2.540721969,-1.371624728,99.4,12,134.6256,30,28,15,30,14,16,21,8,18,11,15,10,1,11,5,10,11,13,10,66,1,13,19,3,15,38,2,22,1,14,7,9,12,8,4,11,7,6,2,7,1,5,11,2,3,3,6,15,1,10,7,4,9,0,3,2,1,15,7,3,15,8,8,8,10,5,2,9,14,1,5,9,4,1,8,0,8,3,1,4,1,8,4,2,11,2,2,1,9,15,2,2,9,7,4,5,1,7,1,2,3,8,3,2,2,9,8,1,4,6,8,12,5,1,2,1,1,1,5,4,20,5,4,4,0,4,2,1,5,3,1,4,6,1,2,1,2,7,3,6,7,1,1,3,3,2,5,2,3,3,4,1,2,2,2,1,2,26.6,26,6.4,14.5,0.356999993,620.2,6.15,21.85,277,96.7,9.6,0.215435608
GCA_036937005.1,ASM3693700v1,ASM3693700v1,Japan,34.51,133.36,Hiroshima,2.694118372,7.766139277,99.4,22,140.38768,31,30,14,30,16,15,21,10,21,11,15,9,1,11,5,10,13,13,9,73,1,13,14,2,15,46,1,22,2,12,10,9,14,8,4,11,8,8,2,7,2,5,15,4,3,2,7,15,1,10,7,4,9,1,3,2,1,15,6,2,10,9,6,9,10,4,2,10,16,1,4,11,4,1,8,1,8,3,1,4,1,8,4,2,16,3,2,1,10,16,2,2,9,8,4,5,1,7,1,2,3,20,3,3,2,10,8,1,4,7,7,11,5,1,2,0,1,1,5,4,24,5,4,8,1,4,2,1,5,3,0,4,6,1,2,0,2,7,3,7,7,1,1,2,2,2,4,2,3,4,5,2,2,2,2,0,2,12.4,9.9,5.7,15.5,0.246000004,770.2,23.55,27.05,205.1,51.3,457,0.245409248
GCA_036937185.1,ASM3693718v1,ASM3693718v1,Japan,36.66,136.65,Ishikawa,3.740946503,4.536705099,99.3,10,140.867131,31,30,14,30,16,15,21,9,21,11,15,9,1,11,5,10,13,13,9,73,1,13,14,2,15,53,1,22,2,12,10,7,14,8,4,11,8,7,1,7,3,5,14,4,3,2,7,15,1,10,7,4,9,1,3,2,1,15,6,2,10,9,6,9,10,4,2,10,15,1,4,11,4,1,8,1,8,3,1,4,1,8,4,2,16,3,2,1,10,16,2,2,9,6,4,5,1,7,1,2,3,20,3,3,2,10,7,1,4,7,7,11,5,1,2,0,1,1,5,4,24,5,4,5,1,4,3,1,5,3,0,4,6,1,2,0,2,7,3,7,7,1,1,2,2,2,4,2,3,4,5,2,2,2,2,0,2,22,15.8,5.2,27.1,0.21400001,802.2,7.55,25.45,291.9,24.8,636,0.249337974
GCA_036937335.1,ASM3693733v1,ASM3693733v1,Kyrgyzstan,40.05,72.6,Kyr-1,2.190912395,11.58853828,99.3,11,136.70868,31,28,17,33,16,16,26,10,21,11,15,10,1,11,6,10,14,15,10,69,1,13,17,4,15,54,2,23,2,9,7,8,13,8,4,11,8,8,2,7,1,5,9,4,3,3,7,15,1,11,7,4,9,1,3,2,0,14,7,2,14,9,7,9,10,4,2,10,16,1,5,10,4,1,8,1,8,3,1,4,1,8,4,2,16,3,1,1,11,17,2,2,9,8,4,5,2,7,0,1,3,14,3,3,2,10,8,1,5,7,7,11,5,0,2,0,1,1,5,4,21,5,4,5,1,4,3,1,4,3,0,4,6,1,2,0,2,6,3,7,7,1,0,1,3,4,4,2,3,3,5,3,2,2,2,0,2,20.8,17.4,6.8,27.7,0.251999998,769.9,7.25,12.55,84.6,41.1,148.1,0.228878159
GCA_036937385.1,ASM3693738v1,ASM3693738v1,Russia,51.75,80.83,Nov-02,0.757729269,10.99464648,99.4,10,139.499752,31,32,15,36,16,14,23,10,21,11,15,10,1,11,5,10,11,14,9,98,1,13,14,4,16,53,2,24,2,9,8,7,13,8,4,12,8,8,2,7,2,5,9,4,3,3,7,15,1,11,7,4,9,0,3,2,0,15,6,2,11,8,7,9,9,5,2,9,14,1,4,10,4,1,8,1,8,3,1,4,1,8,3,2,5,2,2,1,11,15,2,1,9,8,4,5,2,7,0,1,3,26,3,3,2,9,8,1,4,7,7,10,5,0,2,0,1,1,5,4,21,5,4,5,1,4,3,1,4,3,0,4,5,1,2,0,2,7,3,7,7,1,0,2,3,3,4,2,8,3,5,2,2,2,2,1,2,23.1,23.1,7.2,18.3,0.217000008,1286.5,19.65,19.65,55.5,39.8,127.9,0.244881805
GCA_036937455.1,ASM3693745v1,ASM3693745v1,United Kingdom,57.15,-2.22,Abd-0,-3.857584071,0.023913178,99.4,18,134.127428,31,28,18,28,16,17,21,10,21,11,16,10,1,11,5,10,15,13,9,70,1,14,16,5,16,18,2,21,2,7,10,9,14,8,4,12,8,8,2,7,3,5,10,4,3,3,7,13,0,10,7,4,9,1,3,2,0,15,6,4,15,9,9,9,10,5,2,8,13,1,4,10,4,1,7,1,8,2,1,4,1,8,4,2,10,2,2,1,11,14,2,2,9,8,4,5,1,7,1,1,3,24,3,2,2,9,7,1,5,7,9,7,5,1,2,1,1,0,5,4,22,5,4,8,1,4,2,1,5,3,1,4,6,1,2,0,2,6,3,7,7,1,0,2,3,3,4,2,2,2,5,2,2,2,2,1,1,21.2,13.8,5.6,42.3,0.297000003,346.5,6.85,12.95,119,18.8,239.3,0.217585683
GCA_036937465.1,ASM3693746v1,ASM3693746v1,Russia,56.27,34.33,Rld-2,-2.36998223,7.487545014,99.4,15,138.707443,30,28,17,33,16,13,23,8,20,11,15,10,1,11,5,10,14,15,8,61,1,14,19,5,16,16,2,22,2,14,9,8,15,8,4,11,8,8,2,7,2,5,13,4,3,3,7,15,2,11,7,4,9,0,3,2,1,14,6,3,11,9,9,9,10,5,2,9,13,1,5,12,4,1,8,1,8,3,1,4,1,8,4,2,17,3,2,1,11,17,2,2,9,8,4,5,1,7,1,2,3,19,3,3,2,10,8,1,5,7,10,11,5,1,2,0,1,1,5,4,22,5,4,5,1,4,3,1,5,3,1,4,5,1,2,0,2,7,3,8,7,1,0,2,3,3,4,2,2,3,5,2,2,2,2,1,2,20.8,17.5,6.6,21,0.202999997,908,16.75,16.75,84.9,35.8,252.2,0.238497382
GCA_036937475.1,ASM3693747v1,ASM3693747v1,China,47.76,88.4,Altai-5,1.539636368,10.65316719,99.4,15,137.014786,31,33,17,33,16,14,22,10,22,11,15,9,1,11,6,10,11,14,9,113,1,13,15,4,15,54,2,22,2,12,9,6,11,8,3,12,8,6,2,7,1,5,9,4,3,3,7,15,1,11,7,4,9,0,3,2,0,15,6,3,14,9,7,9,10,4,2,9,15,2,5,10,4,1,8,1,8,3,1,4,1,8,4,2,5,2,2,1,10,16,2,1,8,7,4,5,1,7,0,1,3,25,3,3,2,10,7,1,4,7,7,12,5,0,2,0,1,1,5,4,21,5,4,6,1,4,3,1,4,3,1,4,6,1,2,0,2,6,3,7,7,1,1,1,3,3,4,2,3,4,5,2,2,2,2,0,1,20.8,21,8.2,14.8,0.268000007,1311.2,19.15,19.15,64.7,37.9,151.9,0.230579713
GCA_036937505.1,ASM3693750v1,ASM3693750v1,Kyrgyzstan,42.3,74.37,Kar-1,1.903975537,10.26511089,99.4,10,134.343331,31,28,18,31,16,17,25,10,21,11,15,10,1,11,6,10,13,14,10,70,1,12,16,3,16,53,1,21,2,14,9,8,13,8,4,11,8,8,2,7,1,5,9,4,3,3,7,15,1,10,7,4,9,1,3,2,1,15,5,3,14,9,7,9,10,4,2,9,14,1,5,10,4,1,8,1,8,3,1,4,1,8,3,2,8,4,2,1,11,16,2,1,9,8,4,5,2,7,0,1,3,25,3,3,2,10,8,1,4,7,7,12,5,0,2,0,1,1,4,4,21,5,4,7,1,4,3,1,4,3,0,4,6,1,2,0,2,6,3,7,7,1,0,3,3,3,4,2,3,3,5,3,2,2,2,0,2,24.9,22.8,6.7,29.6,0.269000006,916.3,9.65,11.55,68.8,38.1,159.6,0.219704683
GCA_036937515.1,ASM3693751v1,ASM3693751v1,USA,41.56,-86.43,RRS10,-2.945154287,0.125456217,99.4,12,137.553993,31,29,18,32,16,14,23,10,19,11,16,9,1,11,6,10,13,13,9,63,1,13,23,2,15,17,1,22,2,13,7,9,14,8,4,12,8,8,2,7,3,5,14,3,3,3,7,15,1,10,7,4,9,1,4,2,1,16,7,3,15,9,7,9,10,5,2,9,14,1,4,10,4,1,8,1,7,2,1,4,1,8,4,2,18,3,2,1,10,10,2,1,9,8,4,5,1,7,1,2,3,22,3,3,2,10,8,1,5,7,8,11,5,1,2,1,1,1,5,4,18,5,4,5,1,4,2,1,5,3,0,4,6,1,2,0,2,7,3,7,7,1,0,1,3,2,5,2,2,3,5,2,2,2,2,0,2,15.5,10.1,6,11.6,0.254999995,942.5,20.05,22.15,119,21.9,338.2,0.237533126
GCA_036937805.1,ASM3693780v1,ASM3693780v1,Ukraine,50.47,30.52,Rubezhnoe-1,0.146312824,8.422026086,99.4,7,137.009881,31,29,17,34,16,14,20,10,22,11,15,9,1,11,5,10,12,13,10,79,1,12,18,0,15,14,2,23,2,9,9,8,14,8,4,11,8,8,2,7,1,5,14,4,3,3,7,15,1,10,7,4,9,0,3,2,1,15,6,2,10,9,7,9,10,5,2,10,13,1,3,11,4,1,8,1,8,3,1,4,1,8,3,2,23,3,2,1,10,11,2,1,9,8,4,5,1,7,0,2,3,17,3,3,2,10,7,1,5,6,7,12,5,0,2,1,1,1,5,4,23,5,4,7,1,4,2,1,4,3,1,4,6,1,2,0,1,7,3,7,7,1,0,2,3,2,4,0,3,3,5,2,2,2,2,1,2,20.8,17.5,6.6,21,0.229999995,886.6,19.45,19.45,83.4,30,222.9,0.239653058
GCA_036937815.1,ASM3693781v1,ASM3693781v1,Kyrgyzstan,42.19,73.41,Sus-1,2.053658198,10.61284295,99.4,6,136.024298,31,29,17,31,16,15,23,10,21,11,15,9,0,11,6,10,15,14,10,88,0,13,16,3,16,52,1,22,2,12,9,8,13,8,3,11,8,8,2,7,1,5,9,4,3,3,7,15,1,11,7,4,9,0,3,2,0,15,6,3,14,9,7,9,10,4,2,9,16,1,5,10,4,1,8,1,8,3,1,4,1,8,4,2,11,2,2,1,11,16,2,2,9,7,4,5,1,7,0,2,3,17,3,3,2,10,7,1,5,7,7,12,5,0,2,0,1,1,5,4,21,4,4,5,1,4,3,1,4,3,0,4,6,1,2,0,2,6,3,7,7,1,0,3,3,3,4,2,3,3,5,3,2,2,2,0,1,23.3,21.8,6.4,27.2,0.270000005,815.2,6.15,11.35,90.4,33,196.9,0.224810805
GCA_036937985.1,ASM3693798v1,ASM3693798v1,Spain,40.44,-3.7,Sah-0,12.95845386,-2.311591293,99.4,9,141.634957,31,30,17,31,16,15,22,9,22,11,16,9,0,11,5,10,14,14,12,85,1,12,14,4,13,27,2,21,2,12,6,9,11,8,4,11,8,6,2,7,3,5,14,3,2,3,7,15,1,9,7,4,9,0,2,2,1,15,6,3,15,9,5,9,10,5,1,10,13,1,4,11,4,1,7,1,8,3,1,4,1,8,4,2,24,3,2,1,9,12,2,2,9,5,4,5,2,7,0,2,3,8,3,1,2,8,8,1,4,7,8,12,5,1,2,1,1,1,5,4,19,5,4,6,0,4,2,1,5,3,1,4,6,1,2,0,2,7,3,4,7,1,0,2,3,3,5,2,3,4,5,1,2,2,2,0,2,20.8,17.5,6.6,21,0.36400001,711.4,9.95,24.25,57.5,46.2,42.9,0.250696415
GCA_036938785.1,ASM3693878v1,ASM3693878v1,Kyrgyzstan,42.8,76.35,Zal-1,0.091534618,9.603413713,99.4,8,132.046556,31,32,16,34,16,20,25,10,21,11,15,10,1,11,6,10,15,15,10,70,1,13,15,4,15,18,2,23,2,13,9,7,13,8,4,11,8,8,2,7,2,5,9,4,2,3,7,15,1,10,7,4,9,0,3,2,0,15,6,2,12,9,9,9,10,4,2,10,16,1,5,10,4,1,8,1,8,3,1,4,1,8,3,2,5,3,2,1,11,16,2,1,9,8,4,5,2,7,0,1,3,15,3,3,2,10,8,1,4,7,7,11,5,0,2,0,1,1,4,4,21,5,4,6,1,4,1,1,5,3,0,4,6,1,2,0,2,6,3,7,7,1,0,1,3,3,4,2,3,3,5,2,2,2,2,0,2,20.6,20.2,6.7,38.8,0.274000001,799.8,9.35,11.45,147.4,60.6,343.7,0.220057848
GCA_036939995.1,ASM3693999v1,ASM3693999v1,Morocco,31.47,-7.41,Elh-2,3.093125934,-1.411572196,99.4,12,136.542177,31,29,17,32,15,13,21,10,22,11,14,10,1,11,4,10,14,13,10,95,1,15,20,2,13,14,2,22,2,13,7,9,11,8,4,11,7,8,2,7,2,5,11,4,3,3,7,15,1,10,7,4,9,1,3,2,0,15,6,2,14,9,2,9,10,5,2,9,14,1,4,10,4,1,8,1,8,3,1,4,1,8,4,2,15,3,2,1,10,21,2,2,8,5,4,5,2,7,1,2,3,5,3,2,2,9,7,1,4,7,8,12,5,1,2,1,1,0,5,4,20,5,4,5,0,4,3,1,5,3,1,4,6,1,2,0,2,7,3,8,7,1,0,3,2,2,4,2,3,3,5,2,2,2,2,1,1,16.2,17.5,6.4,22.1,0.43499999,559.7,8.95,20.35,78.2,24.8,111.2,0.237583373
GCA_036940305.1,ASM3694030v1,ASM3694030v1,United Kingdom,55.96,-3.19,Edi-0,-5.102552011,-1.244221465,99.4,16,135.069682,31,27,16,34,16,14,21,10,22,11,13,9,1,11,5,10,15,13,11,82,1,13,19,4,15,14,1,21,2,7,7,8,13,8,4,11,8,7,2,7,3,4,14,5,3,3,7,15,1,10,7,4,9,0,3,2,0,16,7,3,14,9,10,10,8,5,2,9,16,1,5,11,4,1,8,1,8,3,1,4,1,8,4,2,15,2,2,1,10,13,2,1,9,8,4,5,1,7,1,2,3,27,3,3,2,9,6,1,4,7,8,12,5,1,2,1,1,0,5,4,24,5,4,5,0,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,7,0,1,2,3,3,4,2,2,3,5,3,2,2,2,1,1,20.8,17.5,6.6,21,0.327999997,388.3,10.05,14.65,90.5,16.1,206.9,0.224485484
GCA_036940335.1,ASM3694033v1,ASM3694033v1,Italy,37.7,14.98,Etna-2,-0.069406312,-2.555839383,99.3,10,140.694555,31,28,16,33,15,15,22,9,21,11,15,10,1,11,4,10,12,13,10,79,1,13,17,5,15,43,2,22,2,11,7,9,11,8,2,11,8,6,2,7,3,5,10,5,3,3,7,14,0,10,7,4,9,0,4,2,0,16,5,3,14,8,4,9,10,5,2,8,13,1,5,11,4,1,8,1,8,3,1,4,1,8,4,1,17,2,2,1,10,17,2,2,9,8,4,4,2,7,1,2,3,23,3,3,2,9,8,1,5,6,8,11,5,1,2,1,1,1,5,4,20,5,4,8,0,4,2,1,5,3,1,4,6,1,2,0,2,7,3,6,7,1,0,1,3,3,5,0,2,3,5,2,2,1,2,1,2,16.4,16.6,6.6,29,0.342000008,592.3,0.95,14.25,152.3,48.6,97.2,0.240771699
GCA_036940405.1,ASM3694040v1,ASM3694040v1,Russia,62.13,34.02,N13,1.348458056,7.609373942,99.4,10,135.306961,30,31,18,36,15,15,23,10,22,11,16,9,1,11,5,10,13,14,10,116,1,15,15,1,13,15,2,23,2,8,9,8,15,8,4,11,8,8,2,7,3,5,12,5,3,3,7,16,1,11,7,4,9,1,3,2,1,15,5,3,15,9,5,9,10,5,2,8,13,1,5,10,4,1,8,1,8,3,1,4,1,8,3,2,16,3,2,1,10,12,2,1,9,7,4,5,2,7,0,2,3,17,3,3,2,9,7,1,5,6,7,11,5,0,2,1,1,1,5,4,21,5,4,6,1,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,7,1,0,2,3,3,4,2,2,3,5,1,2,2,2,1,2,74.9,18.4,4.6,51.7,0.169000006,944,15.45,15.45,87.7,35,249.2,0.22970813
GCA_036940415.1,ASM3694041v1,ASM3694041v1,Germany,51.07,13.3,No-0,-5.220906995,2.664285655,99.3,20,136.157527,31,30,15,31,16,18,21,10,21,11,15,9,1,11,4,10,11,15,12,110,1,15,19,4,15,39,2,23,2,13,9,8,13,8,4,11,8,7,2,7,2,4,13,5,3,3,7,15,2,10,7,4,9,1,3,2,1,12,6,3,13,9,4,9,10,5,2,10,12,1,5,11,4,1,8,1,8,2,1,4,1,8,4,2,23,3,2,1,9,16,2,2,8,8,4,5,2,7,1,1,3,16,3,3,2,9,8,1,5,6,11,11,14,1,2,0,1,1,5,4,21,5,4,7,1,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,7,1,1,1,3,3,5,2,6,2,5,2,2,2,2,1,2,29,15.1,6.4,17.3,0.281999993,651.5,17.25,17.25,88.8,21.6,238.5,0.228532984
GCA_036940605.1,ASM3694060v1,ASM3694060v1,Lebanon,34.1,35.84,Qar-8a,1.148175639,-2.615377368,99.5,13,135.870149,31,28,16,31,15,14,25,10,22,12,15,10,1,11,4,10,14,14,9,60,1,13,14,4,13,32,2,21,2,13,7,9,14,8,4,11,7,6,2,7,2,4,11,4,2,2,7,14,1,10,7,4,9,0,3,2,1,13,6,3,14,8,4,9,10,5,2,10,15,1,5,9,4,1,8,0,8,3,1,4,1,8,4,2,8,3,2,1,9,16,2,1,9,7,2,5,1,7,1,2,3,19,3,1,2,9,8,1,4,6,11,9,5,1,2,1,1,1,5,4,18,5,4,5,1,4,2,1,5,3,1,4,5,1,2,0,2,7,3,7,7,1,0,2,3,2,5,0,3,3,5,3,2,1,2,0,2,25.2,24.8,6.4,21.3,0.336999989,635.6,3.95,19.95,292.9,93.5,12.3,0.218819558
GCA_036940615.1,ASM3694061v1,ASM3694061v1,Spain,41.78,3.03,Sf-2,-1.557721732,-3.25833499,99.4,14,139.781231,31,31,15,33,16,14,22,9,21,11,15,9,1,11,5,10,14,13,10,99,1,12,13,3,16,14,2,22,2,13,7,8,15,8,4,12,8,8,2,7,1,4,10,4,3,3,7,15,1,10,7,4,9,1,3,2,0,16,6,4,16,9,7,10,10,5,2,9,13,1,5,10,4,1,7,1,8,3,1,4,0,8,3,2,16,2,1,1,10,10,2,2,9,7,4,5,2,7,1,2,3,13,3,3,2,10,8,1,4,6,10,11,5,1,2,1,1,1,4,4,21,5,4,7,1,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,7,1,0,0,3,3,4,2,8,2,4,1,2,2,2,1,2,20.8,17.5,6.6,21,0.295000005,519.2,17.25,23.05,102.4,35.3,128,0.242877851
GCA_036940625.1,ASM3694062v1,ASM3694062v1,USA,43.27,-85.26,Tul-0,-2.95509856,0.119223495,99.4,19,136.927174,31,29,18,32,16,14,23,10,19,11,16,9,1,11,6,10,13,13,9,63,1,13,23,2,15,17,1,22,2,13,7,9,14,8,4,12,8,8,2,7,3,5,14,3,3,3,7,15,1,10,7,4,9,1,4,2,1,16,7,3,15,9,7,9,10,5,2,9,14,1,4,10,4,1,8,1,8,2,1,4,1,8,4,2,18,3,2,1,10,9,2,1,9,8,4,5,1,7,1,2,3,22,3,3,2,10,8,1,5,7,8,11,5,1,2,1,1,1,5,4,18,5,4,5,1,4,2,1,5,3,0,4,6,1,2,0,2,7,3,7,7,1,0,1,3,2,5,2,2,3,5,2,2,2,2,0,2,11.5,3.7,5.2,11.2,0.247000003,943.2,15.55,20.65,99.3,23.4,252.4,0.237047586
GCA_036940635.1,ASM3694063v1,ASM3694063v1,Iceland,64.92,-18.48,Ice-1,-2.659389892,0.144254272,99.4,12,134.4408,31,27,16,30,15,16,23,8,22,12,15,9,1,11,5,10,13,14,10,64,0,11,20,3,16,17,1,23,1,14,9,9,16,8,4,12,8,8,2,7,2,5,10,5,3,3,7,14,2,10,7,4,9,1,3,2,1,15,7,3,12,9,7,10,10,5,2,9,14,1,5,11,4,1,8,1,8,3,1,4,1,8,4,2,31,3,2,1,10,11,2,2,9,8,4,5,2,7,1,1,3,17,3,2,1,10,8,1,4,7,5,11,5,1,2,1,1,1,5,4,18,5,4,6,0,4,1,1,5,3,1,4,6,1,2,0,2,7,3,7,7,1,0,2,3,3,5,2,8,2,5,2,2,2,2,1,2,25.3,18.6,5.7,78.5,0.255999994,459.9,2.75,6.15,117.7,20.3,247.9,0.217332648
GCA_036940645.1,ASM3694064v1,ASM3694064v1,Portugal,32.75,-17.13,Rab-R1,15.09325115,-1.240024436,99.3,8,147.576663,30,30,17,30,16,15,22,10,22,11,15,9,0,11,5,10,13,13,9,86,1,11,14,2,14,14,2,21,2,12,6,9,12,8,3,11,7,8,2,7,3,5,8,3,2,3,8,15,1,10,7,4,9,0,2,2,0,15,6,3,13,8,6,9,10,4,2,9,15,1,4,10,4,1,8,1,8,3,1,4,1,8,4,2,16,2,2,1,8,16,2,1,8,5,3,5,2,7,0,2,3,4,3,2,2,9,8,1,5,7,7,10,5,1,2,1,1,1,5,4,21,5,4,5,0,4,2,1,5,2,1,4,6,1,1,0,2,7,3,8,7,1,0,2,2,2,5,2,3,2,4,1,2,2,2,0,2,21.1,15.8,5.3,49.6,0.21500001,359.4,10.55,18.45,542.9,63.2,207.7,0.270337059
GCA_036940715.1,ASM3694071v1,ASM3694071v1,Sweden,59.34,18.06,St-0,-4.272651939,1.931208994,99.4,9,134.536582,31,30,17,32,16,13,22,10,21,11,16,10,1,11,5,10,14,14,11,61,1,16,19,4,16,29,2,22,2,7,8,9,12,8,4,11,8,8,2,7,4,5,14,5,3,3,7,15,0,10,7,4,9,1,4,2,1,16,7,3,13,8,5,10,10,5,2,9,14,1,6,11,4,1,7,1,8,3,1,4,1,7,4,2,19,3,2,1,10,14,2,2,9,8,4,5,2,7,1,2,3,8,3,3,2,10,7,1,4,7,8,11,5,1,2,1,1,1,5,4,18,5,4,7,0,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,7,1,0,3,3,3,4,2,9,3,5,1,2,2,2,1,2,20.8,17.5,6.6,21,0.208999991,691.9,15.85,15.85,69.3,26.7,193.5,0.224929559
